LossAfter,StdReturn,Entropy,MinReturn,LossBefore,AveragePolicyStd,AverageReturn,dLoss,Perplexity,AverageDiscountedReturn,MaxReturn,NumTrajs,MeanKLBefore,ExplainedVariance,Iteration,MeanKL
-0.00376143417353,56.5063551539,1.4189385332,0.0,9.09900776858e-17,1.0,74.6689389374,0.00376143417353,4.13273135412,70.8384389387,319.86943442,473,0.0,4.21229717773e-12,0,0.0070856966268
-0.172658686755,58.3905370998,1.41238471593,0.0,4.60742555219e-17,0.993467612147,68.5431142378,0.172658686755,4.10573475003,65.0136094144,369.922127044,509,0.0,0.111954741033,1,0.230087849381
-0.0593723809968,130.068891475,1.37164702282,0.0,-7.40424857965e-17,0.953809311737,223.594605278,0.0593723809968,3.94183764847,194.583285691,639.664747761,172,0.0,0.0981338962956,2,0.294682811492
-0.141135776109,118.95663307,1.30266149823,0.0,1.7238037027e-16,0.890228564689,140.889249555,0.141135776109,3.67907550163,126.044006372,579.775197117,266,0.0,-0.0311975681094,3,0.26645646661
-0.0200600681746,167.872796802,1.20593649353,9.98020629334,-8.81225730779e-17,0.808154488845,468.853906702,0.0200600681746,3.33988539503,366.809562865,869.725763052,84,0.0,-0.0873237778275,4,0.298554888293
-0.0309631744244,211.146273585,1.12013169155,0.0,5.09162684671e-18,0.741702661657,377.0449903,0.0309631744244,3.06525784527,301.075399891,999.873210653,104,0.0,0.409850702918,5,0.232284644189
-0.0506403938603,225.269481926,1.15447532626,0.0,7.18160887301e-17,0.767617891359,475.832457444,0.0506403938603,3.1723585276,364.326313897,999.856436811,83,0.0,0.248097204678,6,0.285634446847
-0.00641156528975,216.191595906,1.07152460904,0.0,3.30844252489e-17,0.706512824996,533.606266972,0.00641156528975,2.91982770395,401.300505496,999.904639082,74,0.0,0.515869655059,7,0.196633460274
-0.0472585554387,191.600655947,1.06024659893,0.0,7.01764292382e-17,0.698589529693,351.827892715,0.0472585554387,2.88708285303,285.134167463,969.748140916,111,0.0,0.158749197581,8,0.21783213107
-0.122002305087,201.724895982,0.918841823466,0.0,-1.13152027746e-16,0.606472005128,498.163189108,0.122002305087,2.50638587099,381.846766096,999.856522183,79,0.0,0.550348133143,9,0.243474783887
-0.0404326529925,177.460372647,0.997259350109,0.0,-1.51223364981e-16,0.655944443707,446.710339847,0.0404326529925,2.71084216907,351.168034711,949.589858674,88,0.0,-2.7869395165,10,0.249560760359
-0.0208175039682,147.253394658,0.979104840411,69.9589454527,1.6715407526e-17,0.644143537888,556.702988138,0.0208175039682,2.66207219559,422.025528099,969.741249476,71,0.0,0.66460212461,11,0.216746852209
-0.0218945543338,107.715930066,0.877925658048,49.9693750186,4.30259442069e-17,0.582158299971,544.058789107,0.0218945543338,2.40590385935,417.382734605,739.752753602,73,0.0,0.89385719666,12,0.364229127431
-0.00103820179656,115.045812165,0.763346862739,359.88157104,5.3815628112e-17,0.519134814964,735.738402008,0.00103820179656,2.14544472682,519.209200931,999.850370503,54,0.0,0.822700328255,13,0.240797535645
-0.00151178820496,82.5857562412,0.743821418066,419.86764945,-2.86892917153e-16,0.509096794174,626.965781885,0.00151178820496,2.10396028357,465.670434286,999.837067767,63,0.0,0.890233168907,14,0.161134157937
-0.0691379262374,85.2802430424,0.697858158234,369.906145921,7.02097615273e-17,0.486226664975,579.228336162,0.0691379262374,2.00944418355,439.306393646,999.867488013,68,0.0,0.90609156733,15,0.348642405591
-0.0624678680894,172.476260031,0.698111797361,149.869534619,6.2652048267e-17,0.486350006723,436.388673745,0.0624678680894,2.00995392186,345.652569733,899.676014878,90,0.0,-0.0841470226584,16,0.249123987016
-0.031418073747,111.566691938,0.747149622422,259.889692518,-5.8376954025e-17,0.510793995092,549.39643255,0.031418073747,2.11097435901,420.574589725,819.733057634,72,0.0,0.56415189472,17,0.343646486802
-0.0533351648002,155.271347914,0.799441203032,79.9554624316,1.98020871409e-16,0.538214914007,559.776324661,0.0533351648002,2.22429765037,423.00825641,999.658802291,71,0.0,0.645357196345,18,0.270109160739
-0.0816375938863,146.887436736,0.711270609506,499.811414848,-1.20601782924e-16,0.492792087206,793.410369553,0.0816375938863,2.03657730986,544.502723306,999.857751117,50,0.0,0.664571053777,19,0.35014242057
-0.0499292907572,383.609144474,0.846488589476,0.0,1.24263996497e-16,0.564141629018,734.140588156,0.0499292907572,2.33144579841,481.673166062,999.828880207,55,0.0,0.415020733276,20,0.321519131243
-0.00894039723725,140.358211355,0.709767761335,89.9286581736,7.13754353487e-17,0.492052051739,977.631894739,0.00894039723725,2.03351894208,620.498943059,999.888417631,41,0.0,0.909179802363,21,0.174156006672
-0.0613818613773,321.564498081,0.654590199545,0.0,-2.87364844602e-17,0.465637272262,783.38389417,0.0613818613773,1.92435375473,517.205016466,999.936873381,51,0.0,0.596205299535,22,0.367029507317
-0.0278129909108,0.0300336711717,0.609797849352,999.824853153,8.67084182232e-17,0.445240504237,999.89243286,0.0278129909108,1.84005939198,633.894635242,999.936692175,40,0.0,0.946201602747,23,0.276634753899
-0.0249076519473,225.872408963,0.592043563154,0.0,1.04808572805e-16,0.437405336614,801.094130343,0.0249076519473,1.80767874908,540.118394474,999.92628078,50,0.0,0.605175971873,24,0.244229735165
-0.045334695062,178.439113349,0.567698314944,0.0,5.33913610266e-17,0.426885172722,896.559453975,0.045334695062,1.76420173792,585.782519496,999.94234646,45,0.0,0.709179686937,25,0.313917935932
