AveragePolicyStd,LossBefore,Perplexity,MaxReturn,MeanKLBefore,MinReturn,AverageDiscountedReturn,AverageReturn,LossAfter,StdReturn,Entropy,dLoss,MeanKL,NumTrajs,Iteration,ExplainedVariance
1.0,9.09900776858e-17,4.13273135412,319.86943442,0.0,0.0,70.8384389387,74.6689389374,-0.00577063344554,56.5063551539,1.4189385332,0.00577063344554,0.00579686775389,473,0,4.21229717773e-12
0.993901151161,7.46481456602e-17,4.1075264503,339.812369987,0.0,0.0,71.2954763593,75.30582642,-0.165104437844,58.9934119279,1.41282101042,0.165104437844,0.324076369314,469,1,0.17748094854
0.932819273921,-1.63048448684e-17,3.85509146106,469.756393158,0.0,0.0,154.521665974,171.544808234,-0.00693460459274,95.8260804279,1.34939473204,0.00693460459274,0.31077227939,221,2,0.187637632487
0.729779007084,-1.14793289759e-16,3.01598058415,809.838372497,0.0,0.0,183.851542728,211.129508513,-0.0910251718917,136.820079593,1.10392501251,0.0910251718917,0.41056229438,181,3,0.20195722956
0.612214323515,4.30218329851e-17,2.53011733023,999.806438219,0.0,0.0,248.41421418,294.305891214,-0.190843724715,145.566519204,0.92826567725,0.190843724715,0.308439155794,132,4,0.502540060055
0.534659700812,-5.66252493799e-17,2.20960490933,999.906511079,0.0,179.840605177,341.070149512,425.915017299,-0.01551257693,151.846874937,0.792813725489,0.01551257693,0.261901890871,92,5,-1.0527430093
0.507573925488,3.90787457673e-18,2.0976666764,999.865435813,0.0,9.98069646873,397.232416267,518.931808641,-0.126061109826,176.737902839,0.740825620517,0.126061109826,0.335406374433,76,6,0.506119420454
0.539822217224,-6.20652161659e-17,2.23094020277,999.899899347,0.0,0.0,305.612617204,387.934316751,-0.0346837898066,226.700961579,0.802423112211,0.0346837898066,0.46377619973,102,7,0.223245116165
0.426422107642,-1.57976398761e-17,1.76228801434,999.892161103,0.0,9.98126782528,411.282375323,544.65741665,-0.0281541422166,186.424949669,0.566612972921,0.0281541422166,0.376850593659,73,8,0.568658607097
0.431252727054,-1.09668708827e-16,1.78225166665,999.896194479,0.0,0.0,229.170135871,283.483000941,-0.0803299106333,230.710961906,0.577877546151,0.0803299106333,0.433954559784,137,9,0.0385887360886
0.351122617345,-1.79742636904e-17,1.45109544984,999.884777083,0.0,9.97961983581,468.561583847,661.479164346,-0.027842277652,245.594489433,0.372318753849,0.027842277652,0.359423107234,61,10,0.392239704397
0.301692553275,1.06714220039e-16,1.24681427423,999.927831438,0.0,0.0,485.669109366,714.878868609,-0.0717112118182,308.457962181,0.220591717535,0.0717112118182,0.376820658839,56,11,0.607538925837
0.316854425797,1.31953190408e-16,1.30947422018,999.920930439,0.0,69.9260152609,568.964613626,866.133037353,-0.0236170492086,217.949884227,0.269625698008,0.0236170492086,0.457070506122,46,12,0.833060615597
0.3176767737,2.58397285073e-16,1.31287276315,999.865783053,0.0,49.9627285649,382.163934359,542.056737056,-0.0487976084001,357.319680433,0.272217685177,0.0487976084001,0.369343047117,73,13,0.238550233455
0.262807434273,-5.88365768954e-17,1.08611252372,999.929280819,0.0,59.951367614,491.974710743,723.834187163,-0.0260862617621,299.68343895,0.0826048291419,0.0260862617621,0.315279157542,55,14,0.5509165292
0.254856577316,-1.10421147982e-16,1.05325376788,999.860109054,0.0,99.9073863452,384.866384245,525.632206763,-0.065680259029,295.06212897,0.0518841992538,0.065680259029,0.430251033141,76,15,0.21081837131
0.219464664203,7.34867110296e-17,0.906988498872,999.95481897,0.0,539.869158861,581.395817822,877.050046392,-0.163249488349,142.092894512,-0.0976255093529,0.163249488349,0.431777859698,46,16,0.277328699765
0.19614415789,3.60049962012e-18,0.810611111242,999.939336857,0.0,39.974927972,529.18279305,783.405824588,-0.137967721607,249.159030934,-0.209966857453,0.137967721607,0.35752875605,51,17,0.560605852049
0.153216536456,4.82395471402e-17,0.63320278418,999.955946558,0.0,449.939189663,616.78865543,960.077225989,-0.0416470349375,99.3772619373,-0.456964553986,0.0416470349375,0.490210354105,42,18,0.86682524865
0.149528039709,1.85199960071e-16,0.617959218026,999.948275587,0.0,89.9336285534,559.364361818,846.098135903,-0.0200659492591,226.331422914,-0.481332813952,0.0200659492591,0.449322271505,48,19,0.784966981391
0.163161242731,-8.86155297364e-18,0.674301583614,999.978301686,0.0,499.941770652,567.391820772,845.184066755,-0.069702119236,148.806779985,-0.394077814714,0.069702119236,0.465411838049,47,20,0.745713687348
0.138982042937,-1.61546282947e-16,0.574375446505,999.97592189,0.0,469.744608476,600.621907813,923.841663807,-0.0978930393503,137.74234117,-0.554472008497,0.0978930393503,0.340965826064,44,21,0.830348376276
0.141149807751,5.4356084437e-19,0.58333423612,999.968801823,0.0,899.789734065,632.285945029,995.706290577,-0.00330371470103,18.6170220968,-0.538994953099,0.00330371470103,0.323792636535,41,22,0.976190170092
0.139454030901,-4.74535203225e-17,0.576326045962,999.952470455,0.0,739.850182826,631.121684467,993.264254628,-0.027817704949,40.0978958492,-0.551081726415,0.027817704949,0.280091624154,41,23,0.985362435623
0.172059584268,9.2967572638e-17,0.711076038682,999.981555827,0.0,339.809557368,590.119408994,901.412016401,-0.0436944349178,158.136744645,-0.34097590879,0.0436944349178,0.408215367138,45,24,0.803171453241
0.135947666375,1.69983337694e-16,0.561835183347,999.952419707,0.0,19.9719683368,517.642825346,779.601181826,-0.110093111248,310.641290063,-0.576546740165,0.110093111248,0.312938803167,52,25,0.487662494965
