LossBefore,MinReturn,MeanKL,dLoss,AveragePolicyStd,MaxReturn,MeanKLBefore,LossAfter,Perplexity,Iteration,StdReturn,ExplainedVariance,AverageReturn,AverageDiscountedReturn,NumTrajs,Entropy
9.09900776858e-17,0.0,0.00564255758912,0.0060203798122,1.0,319.86943442,0.0,-0.0060203798122,4.13273135412,0,56.5063551539,4.21229717773e-12,74.6689389374,70.8384389387,473,1.4189385332
7.03807049844e-17,0.0,0.149321712843,0.159341769153,0.99395667031,389.692449283,0.0,-0.159341769153,4.10775589603,1,58.9764299942,0.166615503606,73.8515222012,69.9431352138,477,1.41287686869
7.93016446161e-17,0.0,0.142674438403,0.0822567498322,0.9579524016,639.856779831,0.0,-0.0822567498322,3.95895992585,2,110.522976738,-0.148229110347,176.569265663,157.564749559,216,1.37598134578
-4.73909478809e-17,49.9673196767,0.130627196816,0.0451486260913,0.858883381096,999.730216365,0.0,-0.0451486260913,3.54953427859,3,215.703268245,0.226695992323,382.808506454,304.492049756,102,1.26681640575
-7.31445082829e-17,79.9502271431,0.10745583848,0.0331660545248,0.777270060468,999.839300241,0.0,-0.0331660545248,3.21224834952,4,232.036782686,0.378238490576,523.650583422,393.676547351,76,1.16697111237
1.47288865132e-16,9.98136393975,0.138753259759,0.0346034560075,0.735480201158,999.868373333,0.0,-0.0346034560075,3.03954208766,5,267.772011888,0.242980358361,710.674270687,490.957917197,57,1.11170687501
1.82970486064e-17,769.863573152,0.147792477297,0.00695924381153,0.611963866203,999.915534865,0.0,-0.00695924381153,2.52908225745,6,55.0059991479,0.86280444901,981.05115218,626.281895716,41,0.927856492839
1.82456971178e-18,9.98390343693,0.183739089743,0.0725536178964,0.610973479403,999.872915098,0.0,-0.0725536178964,2.52498925487,7,298.805171425,-0.216285425836,392.270469833,297.04931267,100,0.92623680722
-3.75684270436e-17,0.0,0.120619156607,0.0479241810635,0.554737481154,999.902556927,0.0,-0.0479241810635,2.29258098167,8,223.291162755,0.453872883227,846.062444201,559.771356875,48,0.829678249136
-4.5514267481e-18,0.0,0.160422435026,0.0209571380736,0.527002933044,999.932398662,0.0,-0.0209571380736,2.17796154511,9,152.348168679,0.943439335907,974.881025453,618.350822666,42,0.778389368297
1.57117743333e-16,0.0,0.13051665087,0.0279436104929,0.533449945522,999.917887131,0.0,-0.0279436104929,2.20460531571,10,254.941549712,0.662232521065,849.198291623,557.683712966,47,0.790548497736
3.77701898122e-17,19.9694498576,0.130904930459,0.0698021329612,0.539503728271,999.827225109,0.0,-0.0698021329612,2.22962397349,11,239.971701731,-0.0544975484139,409.546013885,318.726323613,96,0.801832949501
-5.79868715538e-17,0.0,0.124489600974,0.0462613055108,0.527356204795,999.88691986,0.0,-0.0462613055108,2.17942152235,12,244.798707866,0.491164381812,652.476214313,464.106298724,61,0.779059484867
5.08863655786e-17,69.9496936536,0.107143312126,0.0171255909304,0.491717476673,999.908808073,0.0,-0.0171255909304,2.03213623322,13,191.048554554,0.18122720193,873.527933007,575.262284881,46,0.709087571374
-7.7997767093e-17,209.898373128,0.138130101967,0.0490235653555,0.461279415104,999.918462257,0.0,-0.0490235653555,1.90634390181,14,243.4355933,0.558141116798,755.907320766,517.292352045,53,0.645187220128
8.05144472718e-17,609.875337528,0.124497862076,0.0258512883964,0.439809590895,999.936788138,0.0,-0.0258512883964,1.81761488614,15,86.0401134013,0.755779580829,962.725124052,618.426988652,42,0.597525139507
4.43837628199e-17,9.9817376421,0.111113545892,0.0343544425294,0.456048863245,999.910954403,0.0,-0.0343544425294,1.88472743615,16,245.828424496,0.650284009044,846.519184259,557.887259649,48,0.633783214236
-1.33105457236e-16,139.868066199,0.181185539048,0.0464013067413,0.419809827331,999.907078286,0.0,-0.0464013067413,1.73496123618,17,294.387018982,-0.217851149057,584.446253836,420.356145602,68,0.55098507089
1.24182332871e-16,279.903591103,0.108413180044,0.021319787816,0.419972218447,999.945431662,0.0,-0.021319787816,1.73563235504,18,236.230080988,0.20758652948,802.682339627,540.082893732,50,0.551371816758
-9.25779214293e-17,149.911066919,0.172248091754,0.0568567698021,0.416336900698,999.943491968,0.0,-0.0568567698021,1.72060856339,19,235.92427561,0.652281206261,743.952742279,512.624589417,54,0.542678044174
-4.90415461339e-17,59.9549520171,0.173554439045,0.0473050961505,0.405839082018,999.942214714,0.0,-0.0473050961505,1.67722389898,20,314.207091367,0.469304265659,831.767948243,540.640037974,48,0.517139985548
6.00234696245e-18,0.0,0.142325443021,0.029238801178,0.35720306079,999.954743507,0.0,-0.029238801178,1.47622428912,21,202.927268493,0.821198866962,926.736457969,595.535299303,44,0.38948767203
-2.29663241295e-17,0.0,0.19394125079,0.0474916504112,0.343951072033,999.951933993,0.0,-0.0474916504112,1.42145737968,22,279.170980335,0.43191678111,710.460436206,489.042419971,56,0.351682669018
-1.13876132548e-16,229.906560811,0.129265314805,0.0434466805349,0.367527258097,999.953217203,0.0,-0.0434466805349,1.51889142303,23,230.989641922,0.656766791315,909.236247087,585.99639609,44,0.417980741816
-1.73823142481e-16,99.9051325781,0.141418430074,0.0574623632832,0.401017033857,999.941084104,0.0,-0.0574623632832,1.65729566936,24,314.740359841,0.113715256986,606.8917559,429.086016355,66,0.505187159073
1.23910051717e-17,0.0,0.148193143711,0.0257000160186,0.376834963544,999.937531776,0.0,-0.0257000160186,1.55735766917,25,255.13651536,0.621751870262,913.077868769,583.438396286,44,0.442990583341
