AverageDiscountedReturn,AverageReturn,MeanKL,MinReturn,LossAfter,AveragePolicyStd,MaxReturn,LossBefore,Perplexity,NumTrajs,dLoss,MeanKLBefore,Entropy,Iteration,StdReturn,ExplainedVariance
70.8384389387,74.6689389374,0.00579596300755,0.0,-0.0057720914929,1.0,319.86943442,9.09900776858e-17,4.13273135412,473,0.0057720914929,0.0,1.4189385332,0,56.5063551539,4.21229717773e-12
71.2954770149,75.3058271484,0.324289879732,0.0,-0.165041712711,0.993901474066,339.812374667,-3.98826057809e-17,4.10752778478,469,0.165041712711,0.0,1.41282133531,1,58.9934126325,0.177479638346
158.977466647,176.845073827,0.414738135923,0.0,-0.0898356701396,0.932801661282,449.755639142,6.42542611415e-17,3.85501867276,215,0.0898356701396,0.0,1.34937585078,2,95.8955433482,0.20807647033
277.926533249,333.946057963,0.372367441882,0.0,-0.0468485966914,0.674643190011,949.878270406,-1.18523064079e-16,2.7881190642,117,0.0468485966914,0.0,1.02536719794,3,144.232910569,0.285537303629
330.753867672,412.76231276,0.462389355711,0.0,-0.0255252713676,0.618392072159,999.58460098,3.84722541767e-17,2.55564830575,95,0.0255252713676,0.0,0.93830593149,4,160.728876388,0.495261744432
441.307483774,591.581788491,0.369100699788,0.0,-0.0755289047416,0.566797914517,999.581623654,-1.03723639562e-16,2.34242351277,67,0.0755289047416,0.0,0.851186082633,5,155.651489857,0.674830361301
399.28142892,512.477476233,0.497015943977,9.98130357128,-0.240922646225,0.539810982153,729.807385544,3.49754731733e-17,2.23089377124,77,0.240922646225,0.0,0.802402299455,6,100.658404294,0.834170762085
432.548129706,583.144593481,0.348908290809,0.0,-0.0585220431251,0.494242283499,999.814060304,1.23819865835e-16,2.04257058155,68,0.0585220431251,0.0,0.714209103604,7,191.925002713,0.910964023604
479.596050355,668.948694745,0.234576182211,0.0,-0.0319534847622,0.469436941771,999.891030075,-2.00619726522e-17,1.94005676804,60,0.0319534847622,0.0,0.662717234523,8,186.561895005,-2.8253266162
487.081444327,675.711473799,0.325176059561,419.668959327,-0.0738967699738,0.467300023075,999.853302719,5.92704333463e-18,1.93122545714,59,0.0738967699738,0.0,0.658154753308,9,151.113179994,0.829710029087
586.994492671,885.337157712,0.478548353703,589.808067424,-0.0391326407238,0.525936318996,999.824243453,1.40366674094e-16,2.17355351579,45,0.0391326407238,0.0,0.776363393083,10,101.843371401,0.882328077102
455.586561982,662.36100975,0.464114397689,19.9642046131,-0.06427937578,0.525361807078,999.752432047,-1.35751357336e-17,2.17117921237,61,0.06427937578,0.0,0.775270435793,11,332.955420004,0.330735305821
478.937810446,680.337938263,0.271623783182,0.0,-0.0702073127006,0.467269026471,959.68419101,9.42511431642e-18,1.93109735651,58,0.0702073127006,0.0,0.658088419837,12,232.348565837,0.799487191115
468.194263571,660.302979707,0.352715931844,0.0,-0.0496640182757,0.528531733778,999.732973344,-2.18949906599e-16,2.18427966783,60,0.0496640182757,0.0,0.781286102722,13,241.560703572,0.627342178023
543.710990979,811.671646025,0.231809880453,0.0,-0.0307794395803,0.519609310756,999.85198468,2.84530907033e-17,2.14740569046,49,0.0307794395803,0.0,0.764260457943,14,222.210874999,0.866793020712
555.612493115,830.375539005,0.494264690636,0.0,-0.0877374322189,0.592964382086,999.871315983,1.28810993246e-16,2.45056249372,48,0.0877374322189,0.0,0.89631758748,15,202.847991531,0.445797747375
568.570763745,852.133640457,0.377727864205,409.868373123,-0.0473101674602,0.572410000489,999.862449529,8.74520914238e-17,2.36561675643,47,0.0473101674602,0.0,0.861038772907,16,172.165157519,0.652940426317
624.207617453,976.152193673,0.422633427369,689.835743601,-0.0797216788861,0.49008686142,999.936508757,-4.10311850996e-17,2.02539733843,41,0.0797216788861,0.0,0.705765897821,17,64.4002775036,0.799621120701
620.737133992,967.683786383,0.394690548228,649.858515504,-0.0764063115672,0.452510045575,999.943572532,-4.20761990678e-17,1.8701024534,42,0.0764063115672,0.0,0.625993217281,18,73.753336279,0.954246981819
488.261098242,694.554168199,0.483206495893,9.97934593394,-0.0286320750766,0.430401568675,999.924479563,2.67583693061e-16,1.77873405773,57,0.0286320750766,0.0,0.575901907754,19,229.61567788,0.401491261749
621.419709223,978.684062639,0.458139093553,129.885783435,-0.0386542496455,0.369693435515,999.953003533,1.81441530681e-17,1.52784365236,41,0.0386542496455,0.0,0.423857363758,20,134.206800061,0.635122254427
412.903380505,552.529246897,0.316188672754,189.934680228,-0.0476029543198,0.410062253776,999.931496801,2.43019144757e-16,1.69467713332,72,0.0476029543198,0.0,0.527492240872,21,217.993288726,0.174560115857
428.403319884,590.466184606,0.319316225648,169.866634414,-0.0551482621957,0.435961997454,999.926634674,-3.44141451274e-17,1.80171381608,67,0.0551482621957,0.0,0.588738331969,22,263.480955301,0.418444434599
525.376295393,772.531239002,0.404935807084,269.848070797,-0.033738483338,0.431136389131,999.93600842,3.07024638909e-18,1.78177087327,52,0.033738483338,0.0,0.577607742368,23,243.974427234,0.646039264326
593.179988463,917.823066213,0.365503097514,0.0,-0.0462418173043,0.435234141984,999.938605091,2.47751571035e-17,1.79870578496,44,0.0462418173043,0.0,0.587067397938,24,192.44761195,0.818101977876
383.065209526,557.32744401,0.327514836461,39.9737391116,-0.0638439881823,0.445045913182,999.929970425,-3.87370992846e-17,1.83925519943,71,0.0638439881823,0.0,0.609360706757,25,395.097365068,-0.0224709490611
526.464043152,796.489970188,0.402159821899,49.9671032663,-0.106675945565,0.426334218134,999.905380338,1.01478136858e-16,1.76192479062,51,0.106675945565,0.0,0.566406842503,26,304.051352619,0.58503724691
498.49526377,718.734598044,0.487668702846,9.97992527047,-0.0295402519052,0.43081750873,999.916482856,7.15373831767e-17,1.78045302623,56,0.0295402519052,0.0,0.576867841042,27,249.585189099,0.512041826873
562.341148425,850.247537391,0.334365967272,369.752772269,-0.083355872121,0.411569769826,999.911104285,-9.15974633055e-17,1.70090729217,48,0.083355872121,0.0,0.53116180997,28,228.114152511,0.642467405522
574.414298023,886.988846042,0.435344752172,0.0,-0.108818273026,0.396766309753,999.906524316,2.84408147105e-17,1.63972856858,46,0.108818273026,0.0,0.494530721173,29,245.325619467,0.800354682533
633.885849474,999.877044781,0.196756477205,999.788816064,-0.0503558394177,0.379478284522,999.914090914,-2.02060590482e-17,1.56828180465,40,0.0503558394177,0.0,0.449980628136,30,0.0251032523452,0.971060975341
619.851406853,976.95034125,0.321772371448,59.9478364696,-0.0189199300178,0.373250221209,999.908215953,-3.59179106334e-17,1.54254289212,41,0.0189199300178,0.0,0.433432283297,31,144.990828223,0.98125244385
625.485905442,983.782886083,0.366114326927,339.871374663,-0.0506722389933,0.367782853305,999.910903787,1.35802838065e-16,1.51994772936,41,0.0506722389933,0.0,0.41867594569,32,101.811351029,0.957715653453
625.480629569,983.769510094,0.392342172976,339.870201245,-0.049034228965,0.378423761482,999.902627851,-3.94459351593e-17,1.56392374422,41,0.049034228965,0.0,0.447197884042,33,101.809422337,0.955440648195
572.816714748,888.972893724,0.421487754817,9.9813001273,-0.0578129315866,0.37270028316,999.907078859,4.20622880715e-18,1.54027014591,45,0.0578129315866,0.0,0.43195782046,34,263.548100573,0.829248669492
532.561154117,816.180703531,0.29734931861,149.947200942,-0.0385002709882,0.368387929819,999.895832949,2.32944875837e-17,1.52244834804,49,0.0385002709882,0.0,0.420319794276,35,324.128165833,0.702201225084
629.1242678,988.354820992,0.258418574914,749.847757343,-0.0145157355648,0.33972608231,999.90040219,8.49946072322e-17,1.40399663218,41,0.0145157355648,0.0,0.339322906865,36,49.6969473567,0.83233395971
596.375583539,921.428880711,0.470245102037,239.886243802,-0.0507212969971,0.351772337653,999.910477885,-3.447592168e-17,1.45378056933,44,0.0507212969971,0.0,0.374167452545,37,179.394916854,0.800389043933
386.218822831,561.44903524,0.402801243695,49.9629194734,-0.103016292157,0.345569814051,999.912993986,-1.50950651003e-16,1.42814720557,71,0.103016292157,0.0,0.356377943735,38,394.18207791,0.228468568886
542.32656916,815.994203089,0.41368054191,229.867751067,-0.0289547977664,0.391936623842,999.898225609,2.34199323284e-16,1.61976877418,49,0.0289547977664,0.0,0.482283407069,39,264.973520291,0.635626290533
