MinReturn,AverageDiscountedReturn,MeanKL,NumTrajs,AveragePolicyStd,Perplexity,LossBefore,dLoss,Iteration,LossAfter,MeanKLBefore,StdReturn,ExplainedVariance,MaxReturn,AverageReturn,Entropy
0.0,70.8384389387,0.0056808343888,473,1.0,4.13273135412,9.09900776858e-17,0.00595822799065,0,-0.00595822799065,0.0,56.5063551539,4.21229717773e-12,319.86943442,74.6689389374,1.4189385332
0.0,70.1339096715,0.481954838675,476,0.993942813857,4.10769863103,4.94743135349e-17,0.193006432346,1,-0.193006432346,0.0,57.6561643042,0.182758821941,259.876551522,73.9861128356,1.41286292789
0.0,208.771152748,0.249949935398,160,0.933002481958,3.85584861066,-4.44753020328e-17,0.0106388989411,2,-0.0106388989411,0.0,128.11681142,-2.51073326757,889.795655526,240.750535563,1.34959111526
9.97938425916,182.975440384,0.381826984983,184,0.922568503644,3.81272778133,9.88588907378e-17,0.0480907818478,3,-0.0480907818478,0.0,116.965992097,0.384400961123,649.858629768,207.675681142,1.33834488607
0.0,219.082642395,0.323629380792,148,0.801833630263,3.31376298458,-2.98189068728e-17,0.00921855144137,4,-0.00921855144137,0.0,199.959480815,0.133774677634,999.872842644,263.752291926,1.19808439701
0.0,146.952442248,0.408841282621,223,0.809326106548,3.34472737624,3.35203552549e-17,0.0746195129232,5,-0.0746195129232,0.0,156.926763943,-0.371953153235,869.807052832,169.348451667,1.20738518839
0.0,168.816547632,0.380492661904,196,0.774249155664,3.19976376152,-1.12249566236e-16,0.0165950310664,6,-0.0165950310664,0.0,147.870090574,0.508654942749,889.806391487,194.150967906,1.16307698255
0.0,198.158369053,0.228063458799,166,0.669677301239,2.76759637998,1.60205182453e-16,0.0455449335796,7,-0.0455449335796,0.0,154.004313022,0.432139166768,809.897565458,230.878145111,1.01797921064
9.98150402862,256.019098533,0.330618402902,124,0.617933960699,2.55375505416,-1.40657848334e-16,0.0968313663975,8,-0.0968313663975,0.0,203.445483012,0.1487187792,999.908703466,312.801895471,0.93756484626
109.896932678,427.976889472,0.320437005656,67,0.567108090434,2.34370538651,-1.0248212535e-17,0.0714875220567,9,-0.0714875220567,0.0,272.018909388,0.129411088462,999.896987494,592.405085058,0.851733175467
9.97960721589,347.108455156,0.298325714095,82,0.610574285674,2.52333949443,-2.2815083156e-17,0.00866480622803,10,-0.00866480622803,0.0,333.148918445,0.428374568307,999.909923434,478.784558029,0.925583220427
9.98191990711,351.377613587,0.412124449758,87,0.542918067307,2.24373451948,5.01408856682e-17,0.00376458039069,11,-0.00376458039069,0.0,202.840367543,0.47973662012,999.856002169,452.15486693,0.808141673835
39.9756364136,339.957589268,0.0503567565297,93,0.492130538136,2.03384330528,-1.0668892208e-17,0.0194283080927,12,-0.0194283080927,0.0,146.651711132,0.806229678933,629.814619251,425.100324181,0.709927256938
9.98135660812,376.155866709,0.356843085192,82,0.452617319649,1.87054578833,-6.30789739345e-17,0.023851673093,13,-0.023851673093,0.0,142.796249212,0.855538525273,679.780740426,480.920398002,0.6262302537
469.758769183,521.616807263,0.479974597732,54,0.415096473867,1.71548221254,-2.70799419825e-17,0.0456463800064,14,-0.0456463800064,0.0,145.985558289,0.562251589414,999.89456752,744.242735154,0.539694214587
69.9306876093,550.650832577,0.223705061847,49,0.384777832867,1.59018341426,-1.18674250156e-16,0.00821925430265,15,-0.00821925430265,0.0,164.983399941,0.719490957759,999.899771388,811.242203181,0.46384936446
49.9607263132,471.03568845,0.277882207422,60,0.403432352843,1.66727753386,2.89983625835e-17,0.0461368602724,16,-0.0461368602724,0.0,210.868500914,0.872689548239,899.790644231,659.808517487,0.51119207693
29.9871743415,411.573161713,0.295997405761,71,0.392669823614,1.62279889187,1.19203471141e-16,0.0636546973352,17,-0.0636546973352,0.0,236.175771768,0.872054259655,769.723598186,559.370006765,0.484152369497
0.0,483.888041435,0.150003801335,60,0.385299725326,1.59234025559,-2.26872854303e-17,0.00157204497243,18,-0.00157204497243,0.0,100.754485237,0.917501367575,799.667056227,664.232411798,0.465204792971
569.729925514,501.700357197,0.296681797752,58,0.351840493782,1.4540622403,-1.81194473601e-17,0.0652428933157,19,-0.0652428933157,0.0,68.1073028681,0.981600890716,939.715214837,695.424301714,0.374361184457
579.762318144,544.301852672,0.418257965436,51,0.35387934374,1.46248825945,-2.9741187793e-16,0.063781758861,20,-0.063781758861,0.0,111.270316026,0.43197336966,999.907545472,788.180035716,0.380139272366
0.0,509.734566117,0.307485689439,54,0.355233136965,1.46808312316,1.98452365652e-17,0.0437793554171,21,-0.0437793554171,0.0,199.758986989,0.851787456724,999.912513544,731.62840218,0.383957551994
519.790601142,529.587591817,0.373009646262,53,0.326276946746,1.34841496795,1.41421266232e-16,0.0350641204217,22,-0.0350641204217,0.0,134.753780596,0.878662274934,999.920002249,759.414272895,0.29892980484
0.0,490.099281578,0.252589517346,58,0.322387644682,1.33234152736,8.52824175143e-17,0.0250267059423,23,-0.0250267059423,0.0,138.791461687,0.909494410053,999.882096476,680.816370314,0.286937941173
19.9621511147,470.254650694,0.333504407255,62,0.308373585576,1.2744251859,-6.98806716779e-17,0.0579210728631,24,-0.0579210728631,0.0,154.229343787,0.934932591378,999.927619958,645.441292132,0.242495242362
0.0,508.363498669,0.463661741009,55,0.347718800544,1.43702838943,-2.63484838101e-17,0.0208402397714,25,-0.0208402397714,0.0,169.39317889,0.697166723622,999.898517387,721.964478994,0.362577362939
