AverageDiscountedReturn,dLoss,AverageReturn,Entropy,ExplainedVariance,Perplexity,AveragePolicyStd,MeanKLBefore,LossAfter,MinReturn,StdReturn,Iteration,MaxReturn,LossBefore,MeanKL,NumTrajs
311.703889811,0.0775334443026,435.576041304,0.118204320467,-0.186862244093,1.12547404526,0.272331770159,0.0,-0.0775334443026,49.9237441984,367.289065857,30,999.93928699,5.4012350148e-17,0.485838183999,90
391.74669982,0.0315174553714,596.635980993,-0.153248903471,0.463736468069,0.857916156924,0.207590594068,0.0,-0.0315174553714,0.0,450.001651518,31,999.934137929,1.5077107057e-16,0.486736831806,67
401.02237915,0.049884554871,610.08718651,-0.220273921411,0.830207934442,0.802299000986,0.19413287055,0.0,-0.049884554871,59.9252700586,444.193581323,32,999.947452623,8.93639206027e-17,0.330252787672,66
360.368496544,0.0203880500142,525.180280414,-0.26496653575,0.389622697283,0.767231624377,0.185647592025,0.0,-0.0203880500142,59.9267755517,402.8853584,33,999.951689749,-5.98464641015e-17,0.316049369198,76
445.902471414,0.0731601748899,660.736238434,-0.39099617554,0.835418820395,0.676382742833,0.163664822336,0.0,-0.0731601748899,69.9203742322,366.988328162,34,999.950624474,2.99023013098e-17,0.24791915249,60
386.253549008,0.0583057226971,583.121008958,-0.12139861516,0.754200640011,0.885680843408,0.214308835372,0.0,-0.0583057226971,69.916745708,441.360940404,35,999.950289626,-7.53551227603e-17,0.440865303137,69
446.016129527,0.0772965832583,679.749678377,-0.195856484719,0.813241751417,0.822130214461,0.198931443642,0.0,-0.0772965832583,59.9240894194,414.769371807,36,999.946901625,-1.64074533607e-16,0.358378670985,59
441.635875189,0.0182127575111,674.261032833,0.00605669045367,0.812572048225,1.00607506929,0.243440713437,0.0,-0.0182127575111,49.9235660475,422.770971795,37,999.943663499,1.32708477022e-17,0.293518696569,60
440.430947403,0.0101130160631,671.596996878,0.0379681219868,0.841195669228,1.03869812072,0.251334536827,0.0,-0.0101130160631,9.98042724813,422.01188787,38,999.960769071,-8.78960801941e-17,0.240205463743,60
327.523919762,0.016495167919,476.79490955,-0.0794738753198,0.615050406191,0.923602148464,0.223484681031,0.0,-0.016495167919,39.9384930535,417.845909015,39,999.9683862,3.77912945836e-17,0.363192892958,83
