AverageDiscountedReturn,dLoss,AverageReturn,Entropy,ExplainedVariance,Perplexity,AveragePolicyStd,MeanKLBefore,LossAfter,MinReturn,StdReturn,Iteration,MaxReturn,LossBefore,MeanKL,NumTrajs
70.8384389387,0.00576955629342,74.6689389374,1.4189385332,4.21229717773e-12,4.13273135412,1.0,0.0,-0.00576955629342,0.0,56.5063551539,0,319.86943442,9.09900776858e-17,0.00579753617652,473
71.2954758768,0.165021616701,75.3058258842,1.41282077042,0.177481892888,4.10752546448,0.99390091262,0.0,-0.165021616701,0.0,58.9934114124,1,339.812366438,5.01999419079e-18,0.324497019176,469
160.302271077,0.014177816853,177.9881018,1.34934529728,0.204296367974,3.85490089026,0.932773161365,0.0,-0.014177816853,0.0,91.4450567718,2,459.841505883,1.53106018461e-16,0.361653123779,213
168.507888724,0.0995910267221,190.359089481,1.09105947379,0.27440546072,2.97742690786,0.720450146099,0.0,-0.0995910267221,0.0,117.122835917,3,519.8259621,4.57215817824e-17,0.417561362794,200
254.893433365,0.140298323582,302.486995501,0.958316399926,0.398141390297,2.60730312041,0.630891025086,0.0,-0.140298323582,0.0,141.989791195,4,769.859535808,-1.036707507e-16,0.400597066771,128
293.396685323,0.0761237978906,364.81978539,0.875968361467,0.28788766769,2.40119939747,0.581019957921,0.0,-0.0761237978906,19.9661136343,198.700061254,5,849.819700675,1.1401093872e-16,0.409892101192,107
351.088866579,0.0332049350845,443.539086316,0.786280155049,0.544045178632,2.19521535877,0.531177850837,0.0,-0.0332049350845,9.98152795671,163.897303496,6,869.70368335,6.98013547243e-17,0.334138116592,89
306.16559632,0.0819552959152,395.892867256,0.715268010931,0.144968355846,2.04473462006,0.494765917465,0.0,-0.0819552959152,0.0,261.144182717,7,999.603465661,-6.09144024464e-17,0.450348789054,99
423.990239721,0.0615811660171,570.6451096,0.502931339235,0.553896306176,1.6535613225,0.400113431242,0.0,-0.0615811660171,9.98078483365,211.627353473,8,999.781402749,-7.7669136e-17,0.335218652319,70
569.342534557,0.0625737347861,882.93690766,0.567006567289,0.0269675337905,1.7629817775,0.426589978017,0.0,-0.0625737347861,99.9405888447,270.721584179,9,999.787031362,-2.16482583878e-17,0.250042158945,46
569.805394386,0.0475651803071,870.007228463,0.574371210324,0.802142649765,1.77601343683,0.429743258065,0.0,-0.0475651803071,319.819078011,234.192186176,10,999.847326964,-2.10347859236e-16,0.386698596721,46
