StdReturn,NumTrajs,MeanKLBefore,dLoss,AverageDiscountedReturn,LossAfter,AverageReturn,MaxReturn,LossBefore,ExplainedVariance,AveragePolicyStd,MeanKL,Iteration,Perplexity,Entropy,MinReturn
56.5063551539,473,0.0,0.00577545163789,70.8384389387,-0.00577545163789,74.6689389374,319.86943442,9.09900776858e-17,4.21229717773e-12,1.0,0.00579387814555,0,4.13273135412,1.4189385332,0.0
58.9934142449,469,0.0,0.165185742333,71.2954785218,-0.165185742333,75.3058288216,339.812385401,5.56498251039e-17,0.17747667647,0.993902218271,0.323503376652,1,4.10753086038,1.41282208408,0.0
95.711764514,217,0.0,0.00440810015808,157.616027506,-0.00440810015808,175.168034527,479.903860677,-5.34674571063e-17,0.174679198126,0.93288897312,0.461430380045,2,3.85537950913,1.34946944812,0.0
123.528338973,168,0.0,0.0782586994862,198.760942924,-0.0782586994862,227.980788375,739.78158733,1.1002310174e-16,0.302972638692,0.692534560666,0.424873002904,3,2.86205929268,1.05154139814,0.0
147.344634152,101,0.0,0.055638789334,314.92120277,-0.055638789334,386.661704955,919.745672618,3.50822719732e-16,0.637155014325,0.539527264123,0.446787714312,4,2.22972124085,0.801876573553,0.0
105.898282408,179,0.0,0.034289355748,189.45073602,-0.034289355748,214.429076215,669.806492832,-5.5152123885e-17,-4.2202358676,0.554569729884,0.265372172458,5,2.29188771074,0.829375805827,9.97993268339
117.854799557,135,0.0,0.071065184795,244.721041174,-0.071065184795,286.272649421,539.878682675,1.60014153074e-16,0.56862665931,0.554232000956,0.240137433142,6,2.29049196781,0.828766627597,0.0
209.325770425,87,0.0,0.0741137748297,354.295646506,-0.0741137748297,456.14377951,999.901064736,1.01584448248e-16,0.44228920399,0.530777855915,0.347875303711,7,2.19356228721,0.785526837488,129.851466743
215.254094808,45,0.0,0.0356959793197,584.70945578,-0.0356959793197,901.418894575,999.930397615,-3.07379180164e-17,0.490668106276,0.452868230429,0.353688105546,8,1.87158273518,0.626784455336,219.930659404
157.408192888,109,0.0,0.0486576296934,294.303419244,-0.0486576296934,358.874721247,999.732477243,-3.74676111519e-17,0.028599913168,0.498375356546,0.324967421141,9,2.05965146212,0.72253677534,0.0
225.122853185,73,0.0,0.111813673465,403.034763605,-0.111813673465,538.426430607,999.900989589,2.39688329154e-17,-1.35948646692,0.506109687082,0.49214841117,10,2.09161537243,0.737936672907,119.886852745
232.576015595,59,0.0,0.0774316769031,479.843328413,-0.0774316769031,677.270128416,999.902147679,-6.84861791594e-17,0.469533453645,0.582386089437,0.388676937252,11,2.40684525202,0.878316865924,109.884864097
208.75596406,46,0.0,0.0164807013027,578.878204521,-0.0164807013027,886.151081474,999.932890399,1.16694182495e-17,0.781819101943,0.516406524759,0.262929455978,12,2.13416943634,0.758077548202,9.9812079544
113.096354229,42,0.0,0.00909260048972,619.291169947,-0.00909260048972,968.376939485,999.888392637,-1.51592338333e-17,0.931609032592,0.51227300662,0.116961184006,13,2.11708671633,0.750040953207,489.746997403
307.274407279,61,0.0,0.0511265381689,455.328886713,-0.0511265381689,653.075587861,999.836804933,3.2645187447e-16,0.135171409875,0.49736910334,0.400160750397,14,2.05549288795,0.720515667338,9.97991899078
196.873562782,66,0.0,0.0471435713836,445.701822987,-0.0471435713836,606.141389807,999.886830842,6.82793988084e-19,0.493486868856,0.46047219026,0.345470874536,15,1.90300785839,0.643435717779,99.8973682278
189.990467865,45,0.0,0.00875128276441,587.007401215,-0.00875128276441,900.506806326,999.939682961,-5.86223956955e-17,0.689414407019,0.376003059515,0.177983772166,16,1.5539196333,0.440780534587,309.760932459
243.74629918,46,0.0,0.0665695479627,568.181593971,-0.0665695479627,869.212738646,999.931780322,-2.08460764778e-17,0.8234576945,0.361130883807,0.447382905805,17,1.49245692645,0.40042370587,269.820405489
212.927897519,42,0.0,0.00541685691673,603.68010747,-0.00541685691673,952.242496898,999.904304605,1.02366890576e-17,0.94470976358,0.38506282188,0.0432984729945,18,1.59136119729,0.464589748912,0.0
379.708067822,51,0.0,0.0202292936394,506.259767079,-0.0202292936394,785.17798434,999.917132146,-4.15228384832e-17,0.706848776381,0.382910156803,0.351751035153,19,1.58246481083,0.458983638346,49.9585301628
127.764076829,162,0.0,0.142702065705,206.09641924,-0.142702065705,237.462840145,729.923647904,1.96351663108e-16,-0.207686693335,0.367242899095,0.416284688773,20,1.51771624367,0.417206733747,39.968821043
313.764675525,48,0.0,0.00988582524692,544.667720132,-0.00988582524692,839.878726551,999.941101399,3.55150512331e-17,-0.784278822171,0.341202399182,0.0805601191063,21,1.4100978532,0.343659101416,139.915743399
260.442256729,59,0.0,0.00387040675027,477.819947128,-0.00387040675027,680.895289438,999.935493326,2.03837056676e-16,-0.231667049813,0.335877803921,0.112348503255,22,1.38809273142,0.327930669231,139.883712628
118.997500902,94,0.0,0.0165692853792,339.324364915,-0.0165692853792,419.3290679,919.882623382,-7.72233404297e-17,0.626701585878,0.322402882107,0.268626547674,23,1.33240449954,0.286985204353,19.960515462
120.476367475,101,0.0,0.0954604183628,318.508916174,-0.0954604183628,388.797198466,749.921681163,-4.34554904402e-17,0.56930281811,0.323738577651,0.397946349934,24,1.3379245704,0.291119585228,0.0
260.565786836,102,0.0,0.0613372551328,295.95267818,-0.0613372551328,382.477410855,939.937573371,-2.44254610987e-16,0.385708724294,0.287872840458,0.310762816999,25,1.18970111376,0.173702110668,0.0
159.482684985,80,0.0,0.0131894730621,384.732949658,-0.0131894730621,496.005345255,999.950460544,-5.54014453988e-18,0.593945859074,0.250344616194,0.219226487866,26,1.03460704468,0.0340216876488,189.902250892
132.375588043,102,0.0,0.117398289946,313.565545187,-0.117398289946,383.00164039,859.82617573,-7.6525098256e-17,0.686328493055,0.251656296791,0.374831051436,27,1.04002786821,0.0392475091504,39.9764736853
219.982468642,81,0.0,0.0345105579683,371.719048065,-0.0345105579683,485.715658248,999.963023456,-4.66685139463e-17,0.276661456694,0.269393624814,0.395292847235,28,1.11333147987,0.10735685353,149.93612534
171.769866463,136,0.0,0.0781694868747,239.371870493,-0.0781694868747,285.865361562,989.876998905,2.28581818759e-16,0.0516456372739,0.260774396701,0.310076472784,29,1.0777105256,0.0748389072952,49.9694809906
160.77502984,93,0.0,0.0297766692675,337.487249069,-0.0297766692675,422.362984543,889.819009014,9.53709733983e-17,0.28479990069,0.24579556601,0.286887048516,30,1.01580704235,0.0156834121767,119.908637018
248.055965643,81,0.0,0.0799059350008,373.670077275,-0.0799059350008,495.099928203,999.961007952,6.54126998605e-17,0.25820730751,0.258019133461,0.320957894128,31,1.06632376282,0.0642169970968,119.901143703
256.860029011,79,0.0,0.0254543165199,376.770426996,-0.0254543165199,502.308489023,999.952571757,2.23032445481e-16,0.275923719973,0.240519771249,0.494772752276,32,0.994003599926,-0.00601445067604,119.91006438
303.403135167,61,0.0,0.0562438676014,454.030326248,-0.0562438676014,650.719912785,999.95889433,-6.87924527557e-17,0.553624922458,0.239996441902,0.461402637165,33,0.991840820324,-0.00819264795549,89.9159411436
236.827639432,112,0.0,0.0914150406053,278.985279483,-0.0914150406053,350.466232208,999.937099647,2.46745278316e-16,0.142537876324,0.239897971897,0.443368183532,34,0.991433870247,-0.00860302992109,99.8946695387
324.557359532,65,0.0,0.011748230764,428.239852956,-0.011748230764,608.692988595,999.956745424,3.19473543124e-17,0.0544037447121,0.278200131412,0.482221552087,35,1.14972640581,0.139524006075,119.917378021
400.133255948,64,0.0,0.0185221880475,421.09900247,-0.0185221880475,624.009532137,999.975728353,-4.41055059969e-17,0.605388393045,0.263570485605,0.44749870282,36,1.08926600988,0.0855040839841,99.8974669704
