ExplainedVariance,MinReturn,StdReturn,dLoss,Perplexity,AveragePolicyStd,LossAfter,MeanKLBefore,MeanKL,AverageDiscountedReturn,MaxReturn,Iteration,LossBefore,NumTrajs,AverageReturn,Entropy
4.21229717773e-12,0.0,56.5063551539,0.00579071546943,4.13273135412,1.0,-0.00579071546943,0.0,0.0057844104566,70.8384389387,319.86943442,0,9.09900776858e-17,473,74.6689389374,1.4189385332
0.177462754091,0.0,58.9934215364,0.164996124625,4.10754483552,0.993905599845,-0.164996124625,0.0,0.323648428122,71.2954853531,339.812434115,1,6.4261472597e-17,469,75.3058364069,1.41282548639
0.203256729209,9.98074530337,94.5091695577,0.0301989291522,3.85549166214,0.932916110866,-0.0301989291522,0.0,0.272200714497,152.964552941,429.890060725,2,7.3312955407e-17,223,169.600530566,1.3494985377
0.336552668031,0.0,148.700850722,0.0717877186716,3.18408129217,0.770454457194,-0.0717877186716,0.0,0.306811746299,232.089453941,829.813270955,3,2.61780062893e-17,142,273.587258232,1.15816379912
0.340476653706,9.98301218334,190.715790592,0.0235250486414,2.66506386841,0.644867435129,-0.0235250486414,0.0,0.492588434851,384.296058454,999.793711373,4,2.04761013962e-17,79,500.594839961,0.980228022964
0.360788365489,0.0,187.919276181,0.00536674654567,2.63317580389,0.637151457053,-0.00536674654567,0.0,0.0710283152798,309.64598938,999.905322759,5,-1.0733440248e-16,102,385.467702797,0.968190647707
0.333732046682,179.755123399,230.304403141,0.0533958882561,2.53646445503,0.613750141899,-0.0533958882561,0.0,0.45649771778,350.55674395,999.909504131,6,-3.95258681037e-17,87,453.791123653,0.930771164532
0.13752569405,89.9063166749,164.920130566,0.07471100929,2.49259586329,0.603135226973,-0.07471100929,0.0,0.267021685451,346.605485033,889.662288544,7,-8.831005913e-19,90,436.807126875,0.913324682811
0.483429458335,79.9334462877,218.425092671,0.0651533257014,2.43521776779,0.589251407634,-0.0651533257014,0.0,0.310194020955,454.304257346,999.871416958,8,-5.03138920522e-17,63,627.7395687,0.890036184893
0.715221561305,379.83846406,175.479669989,0.0235535643162,2.32535449804,0.562667712655,-0.0235535643162,0.0,0.298117252695,533.717855669,999.897960876,9,-1.45120061204e-17,52,774.789382745,0.843872499692
0.734182967605,0.0,224.777690001,0.0463153918588,2.21647171929,0.536321267794,-0.0463153918588,0.0,0.364241513172,524.555692041,999.920275203,10,-8.18523860561e-17,52,766.756849485,0.795916615949
0.806658735846,339.810868138,197.912351804,0.00467894529163,2.15791963742,0.522153378121,-0.00467894529163,0.0,0.367186302988,581.166354073,999.92168451,11,-9.16900607402e-17,45,888.296155761,0.769144626765
0.563066739176,229.822816635,144.120207883,0.0293567061269,2.18400505701,0.528465285998,-0.0293567061269,0.0,0.425844231815,366.795695536,999.69254728,12,-4.19319732355e-16,85,464.539805079,0.781160373361
0.149877877405,299.93242966,164.007148465,0.0869592048874,2.02287191337,0.489475782487,-0.0869592048874,0.0,0.274384308915,410.908751929,999.925097706,13,1.72252113075e-17,73,539.256243094,0.704518240989
0.332232159539,199.910341776,183.600102177,0.055755347131,2.06251792279,0.499068956112,-0.055755347131,0.0,0.193733963316,372.536130531,999.925043231,14,3.86393015795e-17,82,479.624005431,0.723927529028
0.600622102986,279.845710159,155.726924503,0.00101248262011,2.28228736728,0.552246727823,-0.00101248262011,0.0,0.363892038572,410.03420624,949.831793953,15,1.89336106523e-17,74,536.61137446,0.825178171331
0.569303364773,249.881622011,169.195023636,0.0528202120231,2.23439145265,0.540657318657,-0.0528202120231,0.0,0.288562470077,424.456460949,999.91212097,16,5.17772172919e-17,70,563.556709501,0.803968910297
0.719483970509,9.98009948693,118.121038056,0.00374566719035,2.15583693265,0.521649424539,-0.00374566719035,0.0,0.12643751244,395.515354177,969.788498166,17,3.0331260064e-17,78,507.924313907,0.76817901598
0.708145876177,0.0,148.659549112,0.657165564657,2.2271750996,0.538911172482,-0.657165564657,0.0,0.4361747824,370.787596769,989.776058771,18,-1.1188229531e-16,83,472.00748783,0.800734010961
-0.451184942286,9.98128120984,60.8714748019,0.113634101037,2.32771981808,0.563240050858,-0.113634101037,0.0,0.358161549698,86.7319806414,469.870107478,19,-1.25115088482e-17,392,92.056920011,0.844889169568
0.080714954125,29.9754140936,195.857274632,0.0376296691312,2.44963961233,0.592741071807,-0.0376296691312,0.0,0.482587890903,243.445089835,889.793811136,20,6.31964600173e-17,131,296.470566536,0.89594091673
0.455475452776,39.973413067,180.708515598,0.00806964370425,2.38613991742,0.577376004623,-0.00806964370425,0.0,0.0697606316239,277.737699452,929.780738304,21,-1.18942610891e-17,115,339.695329548,0.869676962955
0.539632039294,9.97961351152,162.075290782,0.0739113828523,2.1955234159,0.531252391644,-0.0739113828523,0.0,0.312364816798,306.834172707,779.854911809,22,-1.05696864801e-16,104,377.755634814,0.786420476369
0.213444591744,9.98000752402,234.399227526,0.0228481080751,2.06186124516,0.49891005935,-0.0228481080751,0.0,0.280955846213,272.638251822,999.897058321,23,5.72876182392e-17,114,343.574800901,0.723609091946
0.515858784135,9.9802363734,149.997192555,0.0321575314219,1.95519739543,0.47310053035,-0.0321575314219,0.0,0.33217781731,331.035966806,999.862447435,24,-1.32380145744e-16,96,410.684542201,0.67049115787
0.536019813217,0.0,140.947567913,0.0724091187276,1.60858905378,0.389231458796,-0.0724091187276,0.0,0.41530391933,316.403368132,999.924932371,25,-2.37392292685e-17,101,388.187168424,0.475357430652
