StdReturn,LossBefore,MeanKL,AverageDiscountedReturn,Iteration,LossAfter,Perplexity,MaxReturn,AveragePolicyStd,MinReturn,MeanKLBefore,NumTrajs,AverageReturn,dLoss,Entropy,ExplainedVariance
56.5063551539,9.09900776858e-17,0.00762596143504,70.8384389387,0,-0.00295504057279,4.13273135412,319.86943442,1.0,0.0,0.0,473,74.6689389374,0.00295504057279,1.4189385332,4.21229717773e-12
55.5369126174,4.96729811917e-17,0.336885577951,65.5002572372,1,-0.187298017899,4.1050369773,329.774778591,0.993298771574,0.0,0.0,507,68.9129249055,0.187298017899,1.41221475073,0.150945943173
104.928213997,7.95197241388e-17,0.236077428538,179.820070747,2,-0.0662684693435,3.91047028142,629.791124079,0.946219327207,9.98480516043,0.0,188,202.658942514,0.0662684693435,1.36365764334,-0.222854996516
153.450623181,-2.12548913218e-18,0.336611750256,262.396572696,3,-0.046735572541,3.6441689298,859.743838837,0.881782196213,9.98038154513,0.0,124,314.218956951,0.046735572541,1.29312833666,0.32780997238
186.861949001,-9.99864532641e-17,0.261424188975,399.297973128,4,-0.0291219338295,3.22637483005,999.615006893,0.780688255198,9.980258062,0.0,75,525.123841566,0.0291219338295,1.1713591633,0.389302082289
140.250681295,2.69842021989e-17,0.336983891498,416.694934481,5,-0.0552241430877,2.88872187137,999.881861256,0.69898612415,259.840995655,0.0,72,545.867095494,0.0552241430877,1.06081414526,0.652442279615
171.956398282,-4.25067906281e-17,0.372785889604,423.115071054,6,-0.00517846029047,2.91371402554,999.871359273,0.705033493803,0.0,0.0,70,562.065832488,0.00517846029047,1.06942856485,-3.55355987146
207.209545669,-1.26481104071e-16,0.283669334231,362.868663514,7,-0.0388759758272,2.80299066035,999.754044367,0.678241680906,39.9718758591,0.0,84,469.685077611,0.0388759758272,1.03068694016,0.429798386786
305.092955124,-1.17886955899e-16,0.259306636042,401.254231027,8,-0.0513974970132,2.42347423956,999.832828328,0.586409817599,0.0,0.0,71,557.131002089,0.0513974970132,0.885202146808,-0.0765575574423
160.823580725,6.74162515077e-17,0.270947112088,576.723881219,9,-0.0424230510776,2.23035729698,999.890179815,0.539681171087,379.847631035,0.0,46,869.323623285,0.0424230510776,0.802161795498,0.654068742606
281.314787115,-1.62641197496e-16,0.287044743475,525.71627557,10,-0.0385530280796,2.07569611956,999.899678553,0.502257693931,0.0,0.0,51,785.255560482,0.0385530280796,0.730296576727,0.542157390688
0.037252761075,7.68274333041e-17,0.377685576513,633.865189872,11,-0.0485872399335,2.04768916643,999.916201162,0.495480831191,999.754994911,0.0,40,999.84981304,0.0485872399335,0.716711921455,0.850926225459
338.663374511,2.21114403278e-16,0.219695089009,511.122130972,12,-0.0374135411771,1.96733747738,999.866271726,0.476038074775,9.9798309487,0.0,52,776.297340934,0.0374135411771,0.676681094277,0.531934442987
319.243073618,-2.69235903023e-17,0.300446428345,508.066234666,13,-0.0536946530518,1.81022891232,999.85517268,0.438022401459,49.9659854506,0.0,53,762.750122391,0.0536946530518,0.593453308175,0.50269994015
129.243124395,-1.83243372695e-17,0.233223315745,595.28114173,14,-0.0348768186158,1.65009822083,999.912113654,0.399275462022,449.800332877,0.0,44,909.123475399,0.0348768186158,0.500834813916,-1.00354042063
157.316181034,1.76730431511e-16,0.31401894658,467.621694555,15,-0.0695492052807,1.64583293985,949.599879876,0.398243388892,0.0,0.0,62,641.073892759,0.0695492052807,0.498246602479,0.805292610791
