StdReturn,LossBefore,MeanKL,AverageDiscountedReturn,Iteration,LossAfter,Perplexity,MaxReturn,AveragePolicyStd,MinReturn,MeanKLBefore,NumTrajs,AverageReturn,dLoss,Entropy,ExplainedVariance
0.103197623347,-2.89213097915e-17,0.366138305153,633.835260942,30,-0.0266372877272,1.81819168592,999.924760932,0.439949159556,999.511968359,0.0,40,999.791056397,0.0266372877272,0.597842427996,0.936234573359
318.759729218,-6.40000407521e-17,0.253818757855,557.936511792,31,-0.0725927575613,1.6821518976,999.865172534,0.407031513412,49.9576045726,0.0,46,876.297226488,0.0725927575613,0.520073865199,0.900468363409
42.7766040429,-1.09831604692e-18,0.301293238972,629.110059524,32,-0.0556941078633,1.59353711605,999.854189128,0.385589330519,799.697089034,0.0,41,988.028528896,0.0556941078633,0.465956146759,0.945601783448
173.23625123,9.61171582643e-17,0.229380565341,607.858538677,33,-0.00354010530563,1.74869043181,999.840655464,0.423131890744,189.933407473,0.0,43,950.193884228,0.00354010530564,0.55886718312,0.877678035746
193.959310624,1.69234894794e-16,0.354488082733,580.205704776,34,-0.0539147798132,1.54316183585,999.707288871,0.373399987471,299.770064847,0.0,45,885.402951379,0.0539147798132,0.433833451777,0.768401579092
151.47434108,5.15596947126e-17,0.298335821691,615.890333125,35,-0.0252829278204,1.40226070074,999.775920138,0.339306037723,9.97926527537,0.0,42,968.22525618,0.0252829278204,0.3380857205,0.955376099327
299.901716828,5.31463570517e-17,0.318285669289,553.22143668,36,-0.0257685749906,1.45387851299,999.804063298,0.351796037151,0.0,0.0,47,859.052281213,0.0257685749906,0.374234821969,0.939355249147
209.027886802,-1.98935397147e-17,0.307741524577,601.384893811,37,-0.0506437096455,1.45566413587,999.759183296,0.352228105614,0.0,0.0,43,945.231485994,0.0506437096455,0.375462247253,0.977412890342
152.601483721,1.36045320159e-16,0.230522091574,618.353683346,38,-0.0111047927564,1.45640609599,999.769603929,0.35240763824,9.97964280186,0.0,41,975.018602111,0.0111047927564,0.375971822964,0.993455330964
11.6999983377,2.00149444102e-16,0.260111897995,632.702219539,39,-0.0356090103026,1.47752919301,999.708494798,0.357518809332,929.575557668,0.0,41,996.903120087,0.0356090103026,0.390371228488,0.99821570534
