LossBefore,AverageDiscountedReturn,StdReturn,Perplexity,AveragePolicyStd,dLoss,MeanKL,MaxReturn,MeanKLBefore,ExplainedVariance,NumTrajs,Iteration,Entropy,AverageReturn,MinReturn,LossAfter
9.09900776858e-17,70.8384389387,56.5063551539,4.13273135412,1.0,0.00576998227459,0.00579727183258,319.86943442,0.0,4.21229717773e-12,473,0,1.4189385332,74.6689389374,0.0,-0.00576998227459
-4.43340370938e-17,71.2954760656,58.9934116123,4.10752585434,0.993901006955,0.165074492674,0.324237638715,339.812367943,0.0,0.177481529459,469,1,1.41282086533,75.3058260938,0.0,-0.165074492674
3.57627895077e-17,158.136592053,94.972547345,3.85503565398,0.932805770241,0.0579239058217,0.327192023965,479.773813453,0.0,0.199300099333,216,2,1.34938025574,175.747129745,0.0,-0.0579239058217
5.36801987169e-17,271.490148376,150.920805469,3.02780037012,0.732639049257,0.0430082584076,0.338754703213,769.806359725,0.0,0.285786872296,119,3,1.10783640544,326.179839724,29.9866990458,-0.0430082584076
-1.83392191701e-16,260.042682118,177.036147509,2.43441486981,0.589057129828,0.131594082771,0.388306995813,939.781466744,0.0,0.284197270628,124,4,0.889706427785,314.648725132,0.0,-0.131594082771
-8.4496316807e-17,413.343995556,227.316453711,2.10825174368,0.510135201887,0.0367965681799,0.371549179432,999.883969907,0.0,0.476449713328,71,5,0.745859046547,556.05656085,189.898273608,-0.0367965681799
-9.41609271378e-17,320.10520538,228.441463361,2.00538579201,0.485244653033,0.024529912113,0.253402778473,999.787917593,0.0,-0.116422411075,97,6,0.695836457217,408.33925227,39.9803573838,-0.024529912113
2.66852806918e-16,303.342611183,203.975076857,1.94301382748,0.470152463586,0.103951118636,0.323743245965,999.83081234,0.0,0.25584362667,103,7,0.664240286931,378.876627664,99.9200834071,-0.103951118636
2.03810714666e-16,546.141331986,169.730303004,1.77046197133,0.428399965935,0.00564815123638,0.113891563507,999.901860574,0.0,-1.05577977881,50,8,0.57124051328,801.180158218,279.852026596,-0.00564815123638
-8.22957671802e-17,514.709147472,227.88460562,1.75251602238,0.424057571666,0.0504213410083,0.252630272122,999.838582991,0.0,0.572652365236,53,9,0.561052482468,746.922370765,99.9230632886,-0.0504213410083
2.88028266808e-17,589.80410192,225.421178453,1.58805924852,0.384263846943,0.0583595918277,0.369359380395,999.886846608,0.0,0.836904641557,44,10,0.462512672277,919.117569346,0.0,-0.0583595918277
-1.23992578797e-17,611.849832173,78.9710005679,1.50051649277,0.363081062909,0.0462088838079,0.295641140787,999.817429373,0.0,0.906179036548,43,11,0.405809377355,945.035630907,709.773790521,-0.0462088838079
-4.20875948759e-17,617.864534281,152.556149945,1.42484044887,0.344769675737,0.0196907304215,0.224258252602,999.89531794,0.0,0.968573664952,42,12,0.354059841747,973.646795515,0.0,-0.0196907304215
-5.53548590297e-16,457.223098484,176.277387985,1.51199631535,0.365858843895,0.0520100165881,0.312974710287,999.882378655,0.0,0.337892528522,64,13,0.413430840816,623.477795931,9.98132495013,-0.0520100165881
1.65405066386e-16,465.546790561,193.383173924,1.60376134568,0.388063294769,0.0417322844074,0.249097146351,999.832908771,0.0,0.662845529078,62,14,0.47235171139,641.544674903,219.91993362,-0.0417322844074
-2.13440994955e-17,476.428169519,264.027222592,1.57638013557,0.381437843522,0.0580213634355,0.327148131561,999.942869089,0.0,0.7024379825,59,15,0.455131165124,677.904506625,259.881035668,-0.0580213634355
-0.0,473.039332973,244.64534106,1.53823246708,0.372207224539,0.118370519398,0.394724034589,999.934337505,0.0,0.788677975179,60,16,0.43063400861,666.304016935,369.775358249,-0.118370519398
-3.36513456498e-18,544.936613242,241.296438433,1.77031977884,0.428365559517,0.0187078983054,0.471511316394,999.931063677,0.0,0.764147761195,50,17,0.571160196279,814.064052262,389.814074778,-0.0187078983054
8.63521932896e-17,571.976779123,254.966145422,1.63148107664,0.394770658153,0.0964796552857,0.465906578766,999.942237234,0.0,0.783742707966,46,18,0.489488238233,883.586950792,0.0,-0.0964796552857
4.50142470455e-17,532.024061132,236.170735843,1.64692800804,0.398508363336,0.0170998637302,0.148088470066,999.937823057,0.0,0.535910575546,51,19,0.498911739273,785.155590734,169.79805507,-0.0170998637302
1.93611389446e-17,579.017619386,222.238878583,1.63605538263,0.395877506289,0.0476346092519,0.32030972192,999.942769552,0.0,0.799182000602,45,20,0.492288090072,889.420344548,229.828696635,-0.0476346092519
-6.46662040751e-17,539.420396206,217.770423846,1.60671169726,0.388777193479,0.0566098886147,0.389697705402,999.945896458,0.0,0.591427330735,50,21,0.47418966634,796.423619602,309.915795884,-0.0566098886147
2.01660539574e-18,593.978246618,202.794372923,1.4524230906,0.351443867541,0.0732128702692,0.308945066495,999.954076192,0.0,0.8643755876,44,22,0.37323325867,923.288269138,69.9285483692,-0.0732128702692
-1.96035401016e-17,586.984271378,231.013376287,1.51735473612,0.367155424851,0.0712296701687,0.449996690493,999.944022685,0.0,0.777907287824,44,23,0.416968513581,912.397688455,49.9685135039,-0.0712296701687
6.83552310138e-17,545.045272168,256.771082614,1.47539287745,0.357001883507,0.0481293642242,0.322954903254,999.934785533,0.0,0.555173968952,49,24,0.388924311918,820.241641151,9.98006072385,-0.0481293642242
2.07550180515e-16,619.638495272,146.53713386,1.43936406726,0.348283966201,0.00296915855541,0.258148902755,999.947201334,0.0,0.954303708061,41,25,0.364201396085,976.74006115,49.9578657437,-0.00296915855541
1.17592729047e-16,540.127936406,285.988607909,1.41605050355,0.342642766301,0.0491168499714,0.415875197463,999.941965008,0.0,0.582808863158,49,26,0.347871660987,818.8499281,9.97981952987,-0.0491168499714
-1.36125632704e-17,484.962995168,323.676146811,1.30749179471,0.316374736869,0.12353215859,0.491568623151,999.953770633,0.0,0.723432515631,56,27,0.268110641381,714.700054262,0.0,-0.12353215859
-4.40819841434e-17,618.294770903,135.793596542,1.25395790788,0.303421103487,0.0579552594076,0.483436369372,999.949593495,0.0,0.841318692758,42,28,0.226304875367,969.676542186,309.900987373,-0.0579552594076
7.24488521637e-17,616.046132171,114.419317585,1.21766267845,0.294638720524,0.00085532586276,0.424088594643,999.916336618,0.0,0.817788390067,42,29,0.196933183843,960.102855256,389.872639341,-0.00085532586276
-7.52355033179e-17,618.647685238,152.692608897,1.26762212928,0.306727445038,0.0012855439378,0.0634406158992,999.88697751,0.0,-0.137166541405,41,30,0.237142806302,975.692858503,9.98001947812,-0.0012855439378
-1.44328993201e-18,633.867315172,0.025662077053,1.22377352447,0.296117366364,0.0546546269846,0.353280234769,999.905723368,0.0,0.999852125376,40,31,0.201939137945,999.844008883,999.794840373,-0.0546546269846
-2.28705943073e-17,633.849771325,0.0311300605066,1.47459090657,0.356807830032,0.0273302292413,0.336777998319,999.86562567,0.0,0.99999954351,40,32,0.388380599846,999.817336094,999.727052763,-0.0273302292413
