ExplainedVariance,MinReturn,Perplexity,MeanKLBefore,MeanKL,StdReturn,AveragePolicyStd,Iteration,LossBefore,dLoss,AverageDiscountedReturn,Entropy,AverageReturn,MaxReturn,NumTrajs,LossAfter
4.21229717773e-12,0.0,4.13273135412,0.0,0.00579716571137,56.5063551539,1.0,0,9.09900776858e-17,0.00577015328702,70.8384389387,1.4189385332,74.6689389374,319.86943442,473,-0.00577015328702
0.177481368873,0.0,4.10752601085,0.0,0.323545806326,58.9934117025,0.993901044827,1,5.21413761253e-18,0.165226019348,71.2954761455,1.41282090344,75.3058261827,339.812368373,469,-0.165226019348
0.022656836184,0.0,3.85541045587,0.0,0.346118322752,99.3358619664,0.932896461326,2,-3.56135397772e-17,0.0313242738965,163.6858479,1.34947747498,182.648608295,619.872996285,208,-0.0313242738965
0.305411064751,29.9885255405,2.96034227834,0.0,0.36656743924,115.008677638,0.716316165914,3,4.51851068699e-18,0.0920383822154,210.724446411,1.08530489622,241.778385678,889.850814246,159,-0.0920383822154
0.501864278383,179.773079634,2.4151170025,0.0,0.301855582532,150.794092633,0.584387610893,4,-1.33071641974e-16,0.0419165855694,317.271719941,0.881747734171,390.661210525,919.859694047,100,-0.0419165855694
0.428713851941,199.856579037,2.27259170107,0.0,0.455581519159,159.306426674,0.549900660443,5,1.95191929832e-17,0.051121069721,395.282285206,0.820920898759,512.848555387,959.801630906,77,-0.051121069721
0.576214306261,359.807953446,2.00835645686,0.0,0.470998274833,177.538592184,0.48596346696,6,-6.34096425447e-17,0.0329813673704,493.893710325,0.697316704433,693.320393402,999.894487787,57,-0.0329813673704
0.665537505891,9.98001274621,1.86786427298,0.0,0.34863713973,222.431755444,0.451968471436,7,-1.57204021002e-16,0.00102602744423,533.726878085,0.624795678161,787.472019492,999.939151326,51,-0.00102602744423
-0.129465203315,0.0,1.88739273542,0.0,0.205605174127,290.713050561,0.456693787642,8,-1.37148460074e-16,0.0647690096008,241.025964381,0.635196371611,313.060659416,999.883804702,124,-0.0647690096008
0.431668436042,9.97986579768,1.83064596436,0.0,0.350329410044,311.121040612,0.442962730333,9,-4.50941756144e-17,0.0801873445311,434.840822493,0.604668890555,619.237229763,999.933479092,64,-0.0801873445311
0.0505845290166,9.98098465742,1.81158882275,0.0,0.306395656064,282.82611864,0.438351459972,10,-2.14072921278e-16,0.0817848159913,310.511617413,0.59420426286,408.131942641,999.911997987,96,-0.0817848159913
