LossBefore,ExplainedVariance,MaxReturn,dLoss,MinReturn,Entropy,AverageReturn,Perplexity,Iteration,AverageDiscountedReturn,LossAfter,NumTrajs,AveragePolicyStd,StdReturn,MeanKLBefore,MeanKL
9.09900776858e-17,4.21229717773e-12,319.86943442,0.00577162408655,0.0,1.4189385332,74.6689389374,4.13273135412,0,70.8384389387,-0.00577162408655,473,1.0,56.5063551539,0.0,0.00579625303722
-3.61384112188e-17,0.177480051693,339.812373215,0.165070736476,0.0,1.41282123116,75.3058269147,4.10752735698,1,71.2954768046,-0.165070736476,469,0.993901370551,58.9934124053,0.0,0.32417124253
-3.15486068968e-17,0.200953450433,469.77420139,0.00218066789948,0.0,1.34939865239,173.860326682,3.85510657438,2,156.772069731,-0.00218066789948,218,0.932822930901,92.044681596,0.0,0.446123724319
-3.78149862754e-16,0.21091067434,609.845483907,0.105300668797,0.0,1.10770170405,187.904704065,3.02739254868,3,167.11841333,-0.105300668797,203,0.732540368409,110.522530763,0.0,0.351242696961
1.96496623636e-16,0.310286254916,879.805902459,0.00424522071865,0.0,0.946509555117,431.296915996,2.57670011507,4,344.164735371,-0.00424522071865,91,0.623485993713,151.573918578,0.0,0.285441223374
1.63853223893e-17,0.179612785184,979.65027494,0.00396914581884,0.0,0.932146662626,308.765209314,2.53995575764,5,258.914126522,-0.00396914581884,126,0.614594934922,150.837161117,0.0,0.0677900528537
-5.04998237264e-17,0.462132976974,639.827514402,0.0540505768761,9.98158992303,0.87364659951,263.42999048,2.39563085098,6,228.728502178,-0.0540505768761,147,0.579672532692,101.678192258,0.0,0.463664785485
-2.30323435124e-16,0.427173383044,859.846390845,0.0252734480988,0.0,0.820474851925,293.151430717,2.27157824477,7,250.082765331,-0.0252734480988,132,0.54965543369,118.830805677,0.0,0.33506491374
2.20813621765e-16,-1.23685580485,799.783915601,0.0155185686899,149.9329128,0.882326515281,381.714595636,2.41651523119,8,310.730128112,-0.0155185686899,103,0.584725941304,153.893916606,0.0,0.0400467278059
-1.03785928561e-16,0.43115303814,749.80496896,0.0267421015022,149.871620216,0.898675054247,364.824188748,2.4563464284,9,299.867241865,-0.0267421015022,107,0.59436392495,144.238410852,0.0,0.430948990273
1.60942103045e-17,0.507255675283,999.903904664,0.179818971091,0.0,0.705493562604,411.128973829,2.02484582651,10,331.205973107,-0.179818971091,95,0.489953411681,149.093046688,0.0,0.440358122522
-1.00679972829e-17,0.126385243999,589.910371048,0.109496849217,0.0,0.732072601277,241.286002798,2.07938588241,11,204.645613578,-0.109496849217,161,0.503150508521,164.764388595,0.0,0.315857326122
7.04459021065e-17,0.391718662772,789.851883317,0.0427215096128,159.903935658,0.687153787543,360.88406674,1.98804906307,12,299.739554848,-0.0427215096128,109,0.481049672171,115.375076368,0.0,0.291810226419
1.58818251798e-17,0.517432079874,859.846820085,0.0351445197941,219.897547758,0.62718967858,456.319852175,1.87234129769,13,361.773398051,-0.0351445197941,87,0.453051780349,140.154054163,0.0,0.478412938645
-4.4151303201e-17,0.525371886607,979.607455709,0.0229468259704,159.900286907,0.518069006143,529.991281942,1.67878279854,14,402.803458217,-0.0229468259704,75,0.406216290073,184.312192855,0.0,0.411031031388
3.11598525309e-17,0.490257307688,999.936902764,0.0389492128846,169.865992419,0.485840347816,576.965511051,1.62554045441,15,422.308204033,-0.0389492128846,69,0.393333201489,249.575136096,0.0,0.405931191335
-5.85340357042e-17,0.371769354175,999.884536176,0.0903464978883,39.972421424,0.407679991058,495.253691241,1.50332600642,16,362.903307894,-0.0903464978883,80,0.363760882963,307.396477884,0.0,0.293448083473
-1.12654169888e-16,0.477548543255,999.894852703,0.0505480618862,0.0,0.406849314631,608.006847013,1.50207774747,17,443.781747224,-0.0505480618862,65,0.363458840839,215.742496571,0.0,0.307964272068
-8.86632609422e-17,0.77861559194,999.927571774,0.0465027090296,0.0,0.230063185429,695.79454864,1.25867953762,18,491.643061124,-0.0465027090296,57,0.304563599656,204.486269216,0.0,0.452371941747
-4.65130843234e-17,0.712495745064,999.936475485,0.0266539495492,149.900350441,0.23016745661,779.059630393,1.25881078847,19,524.2025995,-0.0266539495492,51,0.304595358518,269.850482462,0.0,0.351119958388
1.4270731912e-16,0.799424989932,999.933153894,0.0593675360578,99.9014179102,0.148571522882,791.890888382,1.16017577392,20,533.961842809,-0.0593675360578,50,0.280728572586,235.554631259,0.0,0.32316891819
-1.30814426506e-16,0.732225850834,999.962590908,0.106082223507,329.75929974,0.133751227867,771.396174541,1.14310841075,21,524.805789989,-0.106082223507,52,0.276598770354,241.972114805,0.0,0.346679313323
2.22979729299e-16,0.797593021689,999.952540481,0.0285640337475,0.0,0.140457064006,764.776974718,1.15079966778,22,519.368778175,-0.0285640337475,53,0.278459829388,255.273577645,0.0,0.360496811071
1.22400707591e-16,0.55221680041,999.958657857,0.0439225088081,259.787557588,0.135783688321,696.524725062,1.14543409602,23,490.489192341,-0.0439225088081,57,0.277161518103,223.326923692,0.0,0.38513882808
1.79145209872e-16,0.767944242383,999.961732269,0.0272581249121,279.831513533,0.109040171382,867.284625977,1.11520714885,24,566.312850319,-0.0272581249121,46,0.269847481797,252.459602869,0.0,0.456190658361
-1.0577217625e-16,0.811979323778,999.977951953,0.0106039913047,379.761544252,0.0358310171597,856.269220949,1.03648068424,25,565.08419179,-0.0106039913047,47,0.250797982116,226.769732041,0.0,0.123319120409
