Iteration,NumTrajs,LossAfter,ExplainedVariance,MeanKLBefore,Perplexity,StdReturn,AverageReturn,MeanKL,AveragePolicyStd,LossBefore,Entropy,dLoss,AverageDiscountedReturn,MaxReturn,MinReturn
0,473,-0.00662247746744,4.21229717773e-12,0.0,4.13273135412,56.5063551539,74.6689389374,0.00527607426274,1.0,9.09900776858e-17,1.4189385332,0.00662247746744,70.8384389387,319.86943442,0.0
1,479,-0.177577592075,0.137579897781,0.0,4.10831674525,60.2051611057,73.6484427467,0.272045716647,0.994092379403,-1.48158971857e-17,1.41301339359,0.177577592075,69.6933453805,359.880397098,0.0
2,164,-0.0794625848371,-0.0468151735444,0.0,3.90840025983,141.131181252,234.567015551,0.360368841836,0.945718442583,-6.55952851081e-17,1.36312814957,0.0794625848371,202.30934636,739.823048684,0.0
3,207,-0.0996496459438,0.151270615333,0.0,3.61283063341,119.350641305,184.886334913,0.319910880401,0.87419924593,6.24156601307e-17,1.28449157407,0.0996496459438,163.74718809,679.757967452,0.0
4,98,-0.0180035181883,-0.540385939478,0.0,3.25146295514,188.352289669,403.723241698,0.348605886304,0.786758847003,-3.17597708647e-17,1.1791050351,0.0180035181883,321.950875729,999.699745848,29.9824267208
5,140,-0.0616760252833,0.224978074253,0.0,2.84713126575,132.117825642,276.728715654,0.314715693787,0.688922415173,6.61821195456e-17,1.04631191392,0.0616760252833,236.184042598,759.729487437,0.0
6,93,-0.124316291461,-0.77701829631,0.0,2.54956552519,189.880866634,421.662588015,0.402115379417,0.61692021734,4.97609921396e-17,0.935922962377,0.124316291461,333.339486308,879.850340677,9.9809796541
7,88,-0.0108784434687,0.422248788708,0.0,2.48664488727,167.662020996,450.528608551,0.320341382703,0.601695264995,1.64232473332e-16,0.910934367039,0.0108784434687,355.369500623,999.860236713,39.9720549109
8,86,-0.00400154942442,0.241585228769,0.0,2.28116083583,132.151115221,459.213765629,0.00960723043661,0.551974140191,-7.19431120243e-17,0.824684451921,0.00400154942442,364.16703804,859.774114438,0.0
9,86,-0.00970176576736,0.730573834096,0.0,2.24608622238,108.622045154,454.912894644,0.437556180785,0.543487110562,-4.42701431069e-17,0.809189244885,0.00970176576736,363.327661454,889.811667931,269.807183624
10,77,-0.034439355561,0.705093863965,0.0,2.03937349708,115.426301809,513.217655904,0.299129946114,0.493468682654,-2.51032690597e-16,0.712642651415,0.034439355561,399.061275397,819.702621164,289.818208601
11,84,-0.0447393968368,-1.52265872156,0.0,2.0036709877,160.788248083,466.770599876,0.286877534734,0.484829720591,-1.73157100795e-16,0.694980991947,0.0447393968368,366.682850969,999.876875377,199.884635952
12,77,-0.118830674246,0.759782873517,0.0,1.82482344687,92.7275487842,512.644664519,0.320091082516,0.441553851559,-1.75385455455e-17,0.601483240914,0.118830674246,400.061515159,809.78073592,329.767304333
13,64,-0.018648692633,0.420209909854,0.0,1.96122717864,223.682385526,625.604740923,0.341724192802,0.474559561361,-1.41943887319e-16,0.673570388866,0.018648692633,453.265205243,999.873600344,229.885666225
14,60,-0.0416700711284,0.516096630139,0.0,1.78297664855,137.201662747,664.672284198,0.412624256663,0.431428151451,-2.50040340033e-17,0.578284242079,0.0416700711284,482.579906108,999.872594774,439.791069058
15,62,-0.0451049401828,0.652233148939,0.0,1.84570439196,215.296694117,643.674269698,0.295013558779,0.446606428971,-3.71537809032e-17,0.612860988892,0.0451049401828,464.166031028,999.938022142,269.807428691
16,48,-0.00356239130567,0.660678176847,0.0,1.73046766384,280.610251468,847.369084969,0.327879762509,0.418722514377,2.76741809657e-17,0.548391697899,0.00356239130567,552.018683015,999.945622275,9.98168477654
17,49,-0.0497974314553,0.819740792878,0.0,1.56010172031,172.382451108,817.367924993,0.263349739216,0.377498943587,-2.52510551954e-17,0.444751024462,0.0497974314553,552.5868286,999.935505869,0.0
18,42,-0.0820522960458,0.377485548948,0.0,1.47414891817,72.0844598003,961.527645625,0.272773564555,0.356700881778,-3.70439666657e-17,0.388080818628,0.0820522960458,618.460549775,999.949103711,689.785799059
19,44,-0.0379383417022,0.883403814983,0.0,1.52424908499,111.616009586,910.537031079,0.283817435776,0.368823655442,9.369830637e-17,0.421501885501,0.0379383417022,596.863530476,999.943012938,579.822082152
20,44,-0.0027460440618,0.94055629322,0.0,1.47268876242,208.081412011,917.131086989,0.189516446495,0.356347566833,-4.51319078585e-17,0.387089820123,0.0027460440618,590.442933053,999.928089071,0.0
21,54,-0.00382982502219,0.833298055318,0.0,1.42750632989,261.032686114,744.076207795,0.0705891016101,0.345414740899,-2.67166187517e-16,0.355929096787,0.00382982502219,507.072143079,999.892868973,0.0
22,49,-0.0371118097901,0.949832390957,0.0,1.38225404487,176.319585,811.255736958,0.409250360628,0.334465012706,-6.09723977409e-17,0.323715532524,0.0371118097901,549.587369006,999.89439613,0.0
23,56,-0.0236726292047,-6.02190053713,0.0,1.3157112728,186.499333997,718.872747793,0.295905803055,0.318363609938,1.32036460056e-16,0.274377411266,0.0236726292047,505.920550054,999.954698403,379.793420393
24,64,-0.00320252868239,0.76160981001,0.0,1.27244344405,157.820690983,618.022392735,0.441264086121,0.307894062067,1.51049999966e-16,0.240939023703,0.00320252868239,455.967597265,999.802663665,329.794829104
25,65,-0.0478757174502,0.693117975093,0.0,1.0439321747,185.786638211,606.855686479,0.346582227101,0.25260102466,-1.6680706119e-16,0.0429945205854,0.0478757174502,447.187853906,999.957907967,0.0
26,75,-0.022136001585,0.626705297396,0.0,0.989152766694,149.111612922,527.773355325,0.29203947589,0.239346011617,-7.29873936863e-17,-0.0109064934701,0.022136001585,405.280856958,999.91670048,279.783373926
27,63,-0.0422801804288,0.405144440736,0.0,0.936671865556,190.078456365,627.893734678,0.375427857464,0.226647169945,6.99418389517e-17,-0.0654222549219,0.0422801804288,458.481720602,999.816235093,329.799908225
28,58,-0.00522425431503,0.723152704426,0.0,0.831021164617,151.259766343,681.362005717,0.458167054351,0.201082793293,-9.14562152088e-18,-0.185100015597,0.00522425431503,490.137147154,999.968044942,439.840183188
29,68,-0.0759878808432,0.588568480723,0.0,0.915457426881,304.545548415,584.385032402,0.334084329371,0.221513896849,-7.6510163819e-17,-0.0883314185365,0.0759878808432,416.159065228,999.980014445,39.9828559657
30,56,-0.0289931023888,0.705478326941,0.0,0.913758956233,193.06656793,713.912180813,0.274779720724,0.221102916676,3.38228181587e-17,-0.0901884663429,0.0289931023888,502.938761477,999.976191718,379.868241332
31,48,-0.0178830996495,0.78842285099,0.0,0.769203835684,178.058374776,836.058817662,0.28267470787,0.186124809423,5.32182097879e-17,-0.262399278691,0.0178830996495,561.125979603,999.981744355,449.769533348
32,49,-0.0219858886982,0.818998624599,0.0,0.720663769141,217.934840428,810.82251596,0.326740677807,0.174379534354,-7.39039014893e-17,-0.327582590078,0.0219858886982,545.572657728,999.98306453,9.98028676367
33,51,-0.0810874862561,0.734513384887,0.0,0.719566653833,220.292386363,786.468089132,0.34516516886,0.174114064568,-3.15872458763e-18,-0.329106117845,0.0810874862561,534.888437899,999.986940601,429.72462049
34,53,-0.0318973593121,0.711179710211,0.0,0.673032425262,244.425621534,750.975291276,0.249878687428,0.162854143566,-5.93041825124e-17,-0.395961770316,0.0318973593121,515.391192069,999.988617395,409.721366989
35,54,-0.00368288960694,0.0552914417242,0.0,0.678826218477,209.142130468,740.929250644,0.00373260049118,0.164256071907,2.41651313794e-18,-0.387390121623,0.00368288960694,514.359957552,999.977579156,379.808061625
36,54,-0.0644993325181,0.769795433886,0.0,0.671400612702,210.335640511,741.105349705,0.313933425242,0.162459292698,1.17444853458e-16,-0.398389281863,0.0644993325181,514.339801995,999.977437581,389.786076106
37,50,-0.00149424034643,0.732637311025,0.0,0.663702486376,215.322926,794.667768557,0.0291712262151,0.160596571494,2.93025622096e-17,-0.409921292602,0.00149424034643,539.189227797,999.988189024,439.76906775
38,49,-0.0927720710522,-1.00452317852,0.0,0.694703630343,207.929080346,818.628391022,0.336124491043,0.16809794076,-1.10637381156e-16,-0.364269955527,0.0927720710522,550.692663348,999.986668621,419.767349196
39,57,-0.0275743523163,0.644276469547,0.0,0.727534748369,207.746298759,704.246809981,0.299481425402,0.176042110176,2.02306091658e-17,-0.318093516996,0.0275743523163,496.535375455,999.98046881,369.816608933
