MaxReturn,dLoss,StdReturn,Entropy,MinReturn,ExplainedVariance,LossAfter,Iteration,AveragePolicyStd,MeanKL,NumTrajs,Perplexity,AverageDiscountedReturn,MeanKLBefore,AverageReturn,LossBefore
319.86943442,0.00577107559731,56.5063551539,1.4189385332,0.0,4.21229717773e-12,-0.00577107559731,0,1.0,0.00579659338545,473,4.13273135412,70.8384389387,0.0,74.6689389374,9.09900776858e-17
339.812371498,0.16500039965,58.9934121454,1.41282110894,0.0,0.177480553574,-0.16500039965,1,0.993901249081,0.324535732192,469,4.10752685498,71.2954765594,0.0,75.3058266424,-5.06159635259e-18
489.905088988,0.0585790951549,94.6486862712,1.3493441331,0.0,0.18668356132,-0.0585790951549,2,0.93277207545,0.327420276898,211,3.85489640246,161.731564107,0.0,179.961139682,-1.89928427654e-17
839.793988694,0.0968269874371,165.404560503,1.10343487142,0.0,0.306627223738,-0.0968269874371,3,0.729421400048,0.319735587087,119,3.01450269035,270.912452154,0.0,327.869673224,-7.61863636988e-18
999.907796146,0.0819262714436,176.138305102,0.926651190699,229.870261228,0.44522378746,-0.0819262714436,4,0.611226709183,0.466830143229,73,2.52603578552,411.932294043,0.0,543.152035259,3.470650129e-17
999.886879557,0.00714079925983,192.444140367,0.822921394307,0.0,0.544885099639,-0.00714079925983,5,0.551001835346,0.237956009296,51,2.27714256111,532.499804968,0.0,776.725089425,-1.84093952809e-16
999.895089045,0.000498613913665,319.859266455,0.768649933717,59.961716118,0.590673346645,-0.000498613913665,6,0.521895136356,0.490924660079,50,2.15685239358,527.747969785,0.0,805.247241809,-3.88646675617e-17
999.725990449,0.105520525691,284.675353278,0.521346407402,0.0,0.380467225096,-0.105520525691,7,0.407549807897,0.428163540897,91,1.68429386946,325.888770271,0.0,433.262130662,2.94756782195e-17
999.947180246,0.0261502011759,190.17158367,0.460395662965,9.98051449858,-1.71176119778,-0.0261502011759,8,0.383451217276,0.282298675019,46,1.58470086841,577.338373693,0.0,878.345813065,-2.23137075306e-17
999.911924329,0.0599963821654,129.006126817,0.370469088514,539.788805153,0.863278191947,-0.0599963821654,9,0.350473758282,0.410609596656,46,1.44841388965,584.026996338,0.0,881.568489081,1.17226410096e-17
999.937343078,0.00238801863158,38.3069819392,0.293652867395,759.759640392,0.912964422778,-0.00238801863158,10,0.324559738494,0.451887320855,41,1.34131820756,630.69843601,0.0,992.04734283,-1.06467960897e-16
999.799545759,0.0105582594766,171.036221828,0.280714071979,89.8990967732,0.676754278583,-0.0105582594766,11,0.32038737731,0.0617755000386,53,1.32407495967,523.511729792,0.0,753.591180938,2.36039012798e-16
999.882746173,0.107140268644,350.681386003,0.236933640018,9.98182141544,0.309638468542,-0.107140268644,12,0.306663294708,0.4907427034,85,1.2673570132,333.781633102,0.0,465.298802003,-2.42500422912e-16
999.959632234,0.0115546885352,60.3076881765,0.175238251344,759.848895861,0.372471098191,-0.0115546885352,13,0.288315393462,0.32035995794,42,1.19153006644,619.97444214,0.0,964.632827304,1.50396173626e-16
999.970934526,0.00905279917813,175.055627143,0.160347205542,479.842388538,0.692751941382,-0.00905279917813,14,0.284053883648,0.421243763039,49,1.17391839121,551.634278439,0.0,813.756066103,-1.313865227e-16
999.976682976,0.00491972052546,95.5752769122,0.0768114624845,679.769071714,0.911433475467,-0.00491972052546,15,0.261289296257,0.334039820504,43,1.07983846714,612.182422599,0.0,947.345465614,1.82564574216e-16
999.932183313,0.0609312091927,132.739311905,0.0436347180087,549.762909602,0.651697189115,-0.0609312091927,16,0.252762790961,0.181139952449,45,1.04460071136,586.817704105,0.0,888.755846838,5.77448339187e-17
999.932596586,0.0857201477272,247.28359467,0.176998100167,199.929944452,0.636788704316,-0.0857201477272,17,0.288823231696,0.315472952002,51,1.19362882543,535.628755184,0.0,796.543144672,9.4669970175e-17
999.960666052,0.00775131241607,117.546449649,0.139637244696,619.812482467,0.804035097765,-0.00775131241607,18,0.278231636195,0.120578637201,43,1.14985660661,604.77494209,0.0,931.046866157,-1.63536210644e-17
999.959960458,0.0319729511357,80.0936571057,0.216551707739,679.736893559,0.95551630907,-0.0319729511357,19,0.300476171157,0.294069681178,42,1.24178729371,620.206612337,0.0,966.784903563,-4.43379802167e-17
999.962863068,0.0129247521856,0.0159153838727,0.229819102031,999.890311116,0.990078689492,-0.0129247521856,20,0.304489269809,0.239347768241,40,1.25837235234,633.928709177,0.0,999.944732835,7.07767178199e-17
999.955383509,0.0494751414449,339.304922611,0.183245472029,39.9746729131,0.565956975262,-0.0494751414449,21,0.290633265918,0.30672688007,64,1.20110921061,433.610142013,0.0,628.357765471,-2.81738475834e-18
999.957393649,0.0584590349805,409.492637769,0.124838919985,39.9823431594,0.289520218936,-0.0584590349805,22,0.274144589405,0.463102479651,75,1.1329659402,365.578180676,0.0,534.318082731,5.43899900488e-17
999.949067481,0.048134226757,354.319356684,0.043346153096,49.9635300325,0.410111872944,-0.048134226757,23,0.252689863011,0.475332378813,67,1.04429931974,411.279931403,0.0,592.412654538,-5.9248672221e-17
999.94478632,0.0499232230879,385.485325148,-0.0123454415009,39.9748079052,0.780369458881,-0.0499232230879,24,0.239001852818,0.293990711136,67,0.987730450833,406.819451998,0.0,598.549583386,1.06548676516e-16
999.966807487,0.00649554019759,343.864161257,-0.0314283129373,0.0,0.678213724833,-0.00649554019759,25,0.23448425267,0.460126742393,57,0.969060423059,469.738750937,0.0,697.432942552,1.05877771257e-16
999.973651528,0.00939784912984,118.022109954,-0.0995524126935,619.844266578,0.836636489454,-0.00939784912984,26,0.219042184178,0.3222119397,44,0.905242502427,594.648745504,0.0,905.780139836,1.60661016538e-17
999.912236795,0.0552822946148,141.861973461,-0.0860666586457,479.749306629,0.772685903978,-0.0552822946148,27,0.222016141154,0.359431757962,53,0.91753306767,526.844022339,0.0,754.716380031,7.89297040464e-17
919.787324844,0.0248112161414,100.438759104,-0.175461399573,489.894636259,0.852665054443,-0.0248112161414,28,0.203030323799,0.318915230238,56,0.839069785,506.961924602,0.0,708.769161388,-2.42671699372e-18
959.767260354,0.0057844725739,96.554353963,-0.166598431819,479.783689426,0.963011061644,-0.0057844725739,29,0.204837772861,0.0662835041102,63,0.846539486413,465.761850809,0.0,628.384437614,2.18263830519e-16
919.755640497,0.136986550061,100.903920002,-0.16152126004,459.769727992,0.978863807626,-0.136986550061,30,0.205880414015,0.228134487444,62,0.850848442201,474.602094539,0.0,645.453125281,-2.42255306972e-17
999.949959497,0.0678460824676,190.289530836,-0.0502925226412,0.0,-1.19841095449,-0.0678460824676,31,0.230102353036,0.487224659695,47,0.950951209051,568.764945472,0.0,858.164065666,5.56478108847e-17
999.950582806,0.058353412592,354.880870237,-0.0196458474623,49.971824525,0.48162868937,-0.058353412592,32,0.237263395709,0.33811373377,58,0.980545874632,464.773079407,0.0,690.389881594,4.91846640328e-17
999.978082889,0.00672786414294,270.353857266,-0.048855821841,39.9875233788,0.753819677883,-0.00672786414294,33,0.230433178863,0.463914396778,49,0.952318423318,538.123217931,0.0,811.703063308,-2.90869012042e-16
999.974145097,0.00121355862502,123.8674357,-0.0971148880827,579.805688168,0.823025006339,-0.00121355862502,34,0.219576756144,0.286191224263,47,0.907451744753,576.875735719,0.0,863.672296654,6.14354163565e-16
999.976339325,0.00290494927341,220.633809003,-0.179050620113,59.9472886407,0.769773176091,-0.00290494927341,35,0.202302909397,0.389003229518,49,0.836063576693,545.200353863,0.0,812.909933511,-2.73081723072e-16
999.970256618,0.0566314951602,231.889082366,-0.2348948602,0.0,0.689530308069,-0.0566314951602,36,0.191315115044,0.282095759633,58,0.79065397446,481.407929294,0.0,682.2996188,-1.03096097144e-16
999.980376999,0.0334437973947,216.614844877,-0.0736534927125,329.833013665,0.72800758238,-0.0334437973947,37,0.224789240216,0.313697578937,56,0.928993541109,497.277832142,0.0,707.727084118,1.76494151906e-16
999.97227995,0.0430681067994,220.679771505,-0.121253933849,89.9228734141,0.679395141813,-0.0430681067994,38,0.214339844098,0.4630238053,59,0.885808994143,477.979074904,0.0,671.058099909,9.61196081699e-18
999.976499883,0.0543077313278,222.760362101,-0.117708672806,449.875767973,0.809646020488,-0.0543077313278,39,0.215101083397,0.48585156752,49,0.888954991659,550.367232283,0.0,821.128828094,-3.40424468481e-18
