MeanKL,MaxReturn,AverageDiscountedReturn,LossBefore,NumTrajs,AveragePolicyStd,dLoss,LossAfter,AverageReturn,Entropy,Iteration,Perplexity,ExplainedVariance,MeanKLBefore,StdReturn,MinReturn
0.00579780656357,319.86943442,70.8384389387,9.09900776858e-17,473,1.0,0.00576912058042,-0.00576912058042,74.6689389374,1.4189385332,0,4.13273135412,4.21229717773e-12,0.0,56.5063551539,0.0
0.323764511378,339.812365212,71.295475679,-1.42002045618e-17,469,0.993900816131,0.165186633605,-0.165186633605,75.3058256645,1.41282067334,1,4.10752506571,0.177482306578,0.0,58.9934111992,0.0
0.296007480703,569.87514925,164.019844652,4.04321680208e-18,208,0.932875910495,0.0500952454149,-0.0500952454149,182.648028507,1.34945544568,2,3.85532552481,0.120688969193,0.0,94.5833334121,19.9857087012
0.364951188022,719.797270617,236.731625238,-3.87093506461e-17,139,0.755868789113,0.0379748149099,-0.0379748149099,277.748575808,1.13905105596,3,3.12380264437,0.250314423693,0.0,135.837454182,0.0
0.405676910655,959.781871237,320.360844573,3.62178932618e-17,99,0.663525739353,0.0789052473606,-0.0789052473606,397.039862454,1.00875090054,4,2.74217362729,0.436606987876,0.0,161.80145495,29.9858946406
0.0518117004509,999.901426312,525.99491798,1.40560847617e-16,53,0.578675936653,0.00586913309217,-0.00586913309217,758.281998729,0.871925880207,5,2.39151218728,0.279006405482,0.0,175.250930974,459.753970083
0.363786965819,999.926759896,528.574326513,3.3081849326e-17,52,0.559375294687,0.027866154556,-0.027866154556,771.15622935,0.838003870066,6,2.31174781907,0.758871503045,0.0,205.702764269,9.97917685482
0.416888884481,999.934797221,583.543918075,7.47694787006e-17,45,0.546419953015,0.0100713528056,-0.0100713528056,901.407067765,0.814571079044,7,2.25820687235,0.87180984391,0.0,215.453624951,0.0
0.36606276167,999.934935232,517.24275799,-1.13792374732e-16,53,0.550106894301,0.0195815712095,-0.0195815712095,755.666130549,0.82129586684,8,2.2734440102,0.659586476863,0.0,236.276124781,0.0
0.461706330199,999.925433667,565.007082749,1.48139469557e-18,47,0.530086728796,0.00818665816251,-0.00818665816251,855.359903934,0.78422388662,9,2.1907060445,0.800767448801,0.0,214.013625669,9.98041228953
0.413679851041,999.915812773,553.120281052,6.1912561697e-17,48,0.487318775089,0.0401900674431,-0.0401900674431,831.946554897,0.70010173214,10,2.01395758126,0.71407086123,0.0,233.957138738,0.0
0.393670497254,999.907449263,539.654683412,-1.37413967728e-17,49,0.463809474759,0.0703803536885,-0.0703803536885,826.400492888,0.650657107379,11,1.91679995867,0.618702110505,0.0,303.549921888,39.9720182259
0.360204904545,999.88164317,560.702708278,6.21219122469e-17,47,0.442420256459,0.0125033596125,-0.0125033596125,853.886043315,0.603443491038,12,1.82840406557,0.799904960463,0.0,240.837262761,0.0
0.415760575083,999.897237911,455.165552373,-1.36756310563e-16,61,0.435548999437,0.0657286343951,-0.0657286343951,659.369651726,0.587790557245,13,1.80000700623,0.475939659367,0.0,325.040954042,0.0
0.330846827299,999.875234776,499.944506707,1.10529842767e-16,56,0.477748899722,0.399928308563,-0.399928308563,715.884065826,0.680268534299,14,1.97440785728,0.744636632623,0.0,221.905601569,139.878419054
0.387003456191,999.894804249,541.653968221,-5.32465172009e-17,50,0.461774077077,0.0772698678337,-0.0772698678337,795.238725189,0.646259015044,15,1.90838820686,0.815899734237,0.0,185.857965747,179.93939817
0.327252601834,999.886922397,385.843007132,1.95807508215e-16,73,0.470141537514,0.0288194795064,-0.0288194795064,539.034492995,0.664217047238,16,1.94296867296,0.487453752548,0.0,327.967974681,59.8940113464
0.294112241931,999.779859725,419.883532864,-2.68779289558e-18,67,0.475622319086,0.046407488364,-0.046407488364,594.121675841,0.675807346209,17,1.96561927081,0.665494631783,0.0,315.065291645,0.0
0.431156089928,999.856315749,498.192058691,1.52634983639e-16,54,0.384346666411,0.0109724794442,-0.0109724794442,735.879422389,0.462728176664,18,1.58840151913,0.853377038276,0.0,294.484472978,89.8978756792
0.345884552986,999.896365813,490.006513269,8.77694975116e-17,56,0.364267136408,0.058510987888,-0.058510987888,708.160533828,0.409070743925,19,1.50541821591,0.800405048578,0.0,260.459184652,109.921116471
0.484598511407,929.703352102,466.256135471,-1.76870954673e-16,60,0.332665820517,0.0249690348619,-0.0249690348619,667.261098076,0.318321698326,20,1.3748184669,0.827957068091,0.0,276.127965153,89.9210587306
0.338694258112,999.855864594,478.521769142,-1.05471187339e-17,56,0.266320225202,0.00555366740252,-0.00555366740252,704.58735251,0.0958826930949,21,1.10062994493,0.787756107977,0.0,319.962765851,69.8889765761
0.336324760123,969.683907944,508.762860044,-5.6437028038e-17,53,0.253550921923,0.0484028423415,-0.0484028423415,747.66978187,0.0467479325168,22,1.0478578449,0.841068066819,0.0,264.990297755,79.9300489086
0.147257976435,999.924417415,554.926549885,-7.15557182996e-18,48,0.225789414013,0.0255829780293,-0.0255829780293,824.091960906,-0.0692139773003,23,0.93312699072,0.886206557247,0.0,175.266927625,119.954390777
0.42326205048,999.888711879,526.552272427,-5.67412043461e-16,51,0.210579926269,0.057861419535,-0.057861419535,778.754276502,-0.138951467481,24,0.870270263841,0.90959314461,0.0,241.354474886,69.919740967
0.397550476322,999.697363212,528.761892903,-1.91446382517e-17,51,0.233073267211,0.0601739199194,-0.0601739199194,776.982534864,-0.0374638900906,25,0.963229199212,0.877714824363,0.0,219.079199739,0.0
