MeanKL,NumTrajs,AverageReturn,ExplainedVariance,Perplexity,Iteration,Entropy,MeanKLBefore,AverageDiscountedReturn,MaxReturn,StdReturn,MinReturn,dLoss,AveragePolicyStd,LossAfter,LossBefore
0.00579704462272,473,74.6689389374,4.21229717773e-12,4.13273135412,0,1.4189385332,0.0,70.8384389387,319.86943442,56.5063551539,0.0,0.00577034842044,1.0,-0.00577034842044,9.09900776858e-17
0.323508298168,469,75.3058262789,0.177481185579,4.10752618944,1,1.41282094691,0.0,71.2954762321,339.812368981,58.9934117938,0.0,0.165232684859,0.99390108804,-0.165232684859,3.92169711921e-17
0.142036483958,214,176.917648241,0.163498001217,3.8553988597,2,1.34947446721,0.0,159.513336906,569.72300469,89.9514017508,9.98908944016,0.0105202315367,0.932893655392,-0.0105202315367,-7.7454839699e-17
0.29028352744,213,178.101053807,0.265900740166,3.24667409555,3,1.17763111714,0.0,159.52184186,609.820587001,102.773155267,0.0,0.110359311278,0.785600083179,-0.110359311278,-2.7589374564e-17
0.405698612545,116,337.040732439,0.292854098549,2.8320188282,4,1.04098982419,0.0,280.971196714,789.842303328,135.764852521,119.924154749,0.0663723431352,0.685265647712,-0.0663723431352,6.31616823793e-17
0.476186122994,111,351.778993873,-0.23254848676,2.78221338931,5,1.02324679412,0.0,288.489683169,869.839615824,165.039100308,0.0,0.0191491218776,0.673214189578,-0.0191491218776,-2.13918999517e-17
0.37456779609,131,297.089765918,0.514901936505,2.42010626837,6,0.883811451753,0.0,253.202921027,689.844651495,115.50108903,9.98073262096,0.14494056378,0.58559486717,-0.14494056378,-1.92116853826e-17
0.203010562504,96,407.657621437,-1.14867120771,2.34876369526,7,0.8538891026,0.0,325.014535374,999.766417362,185.70653519,9.97973794953,0.0351743583711,0.568332053066,-0.0351743583711,9.13649870639e-18
0.296197724124,164,234.477337495,0.102578597923,2.53911759895,8,0.931816618683,0.0,200.707969382,709.884490609,154.631291942,29.991256075,0.0324400959751,0.614392125056,-0.0324400959751,1.57011720448e-16
0.424111764944,113,346.660165968,0.461456783292,2.1888893751,9,0.783394280537,0.0,287.04313403,909.84982137,143.554186375,0.0,0.104914166018,0.529647147986,-0.104914166018,-1.28699960742e-16
0.446666219829,64,624.690103023,0.65842042903,2.03332627535,10,0.709673011364,0.0,443.773445866,999.935005122,275.954441899,0.0,0.0256362372986,0.492005432029,-0.0256362372986,-1.00999075353e-16
0.410884898946,69,577.776925789,0.494994874408,1.730387581,11,0.548345418677,0.0,423.211990438,999.849510218,244.759004942,9.98039652355,0.0955106966276,0.418703136673,-0.0955106966276,-1.82111681905e-16
0.433493147642,40,999.831706222,0.762932264349,1.51952005854,12,0.418394534038,0.0,633.852381996,999.911627138,0.0543551815589,999.646733429,0.00220008678721,0.367679369486,-0.00220008678721,9.39248678833e-17
0.282845732785,55,718.758087909,0.564263156244,1.44917362556,13,0.370993480565,0.0,495.948353007,999.925936818,258.734657613,0.0,0.0489444600558,0.350657592131,-0.0489444600558,2.05478667767e-16
0.337159642919,66,599.085765532,0.447910135874,1.5094614321,14,0.411752919721,0.0,447.42998067,999.908213758,136.050745607,379.898736733,0.0836031402988,0.365245476359,-0.0836031402988,-2.24365051157e-16
0.359428729907,73,540.51270614,0.676300732213,1.5451768662,15,0.4351383803,0.0,411.964048904,999.83707756,159.236186003,309.85304388,0.0417209306828,0.373887565824,-0.0417209306828,-4.51658284464e-17
0.475745594215,84,466.501915434,0.589972383543,1.55150398689,16,0.439224774602,0.0,367.976752033,929.818558338,142.349900719,9.98024397503,0.0988032304787,0.375418543802,-0.0988032304787,-3.912953877e-16
0.324843375383,99,397.720449346,0.758874390465,1.39934938066,17,0.336007400505,0.0,324.077276604,909.78796237,128.43605969,0.0,0.0359973837938,0.338601583495,-0.0359973837938,4.66304668094e-17
0.197868398045,102,382.105254489,0.823582535967,1.26289960516,18,0.233410351028,0.0,314.532092349,769.823341847,113.942084992,219.791850237,0.0149374106157,0.305584732457,-0.0149374106157,-9.15705069048e-18
0.420296983209,105,373.657772822,0.0427240441791,1.12533857177,19,0.118083943063,0.0,308.14510544,999.894573619,123.794555368,219.766947555,0.0751299214671,0.27229898954,-0.0751299214671,1.72292615077e-17
0.342317200987,104,378.017000328,0.574412031138,1.16762375687,20,0.154970706547,0.0,312.643439058,669.818544266,101.022633056,219.760290871,0.0458911134041,0.282530766416,-0.0458911134041,1.19905186707e-16
0.240306556279,116,335.267270068,0.880869050964,1.03747052058,21,0.0367855588183,0.0,284.211494496,479.821586917,70.5406630552,0.0,0.00049013576112,0.251037493532,-0.00049013576112,-3.58529721454e-17
0.1841491008,114,342.134654196,0.947967790886,1.04788008342,22,0.0467691551371,0.0,288.082268813,579.858178793,89.2959597994,0.0,0.0226180781926,0.253556302995,-0.0226180781926,1.22515709397e-16
0.456644260826,117,332.844772259,0.873266391922,1.02516788536,23,0.0248563897694,0.0,278.846731933,929.818705707,125.777394478,9.97947570413,0.111188561232,0.248060615973,-0.111188561232,1.00509350821e-16
0.375250717078,108,361.076157018,-1.17189666731,0.987935158806,24,-0.0121382121271,0.0,298.362205897,799.775052381,133.285094624,209.803253828,0.0583493635066,0.239051386154,-0.0583493635066,-3.98783027054e-18
0.296721391982,86,460.464441205,0.50573182479,0.979682203545,25,-0.0205270420053,0.0,355.99273354,999.958987712,219.478131866,219.822663561,0.0518971207904,0.23705441259,-0.0518971207904,1.0420177288e-16
