NumTrajs,MeanKLBefore,Entropy,LossBefore,AverageReturn,StdReturn,MaxReturn,LossAfter,dLoss,Iteration,Perplexity,ExplainedVariance,AverageDiscountedReturn,MinReturn,MeanKL,AveragePolicyStd
473,0.0,1.4189385332,9.09900776858e-17,74.6689389374,56.5063551539,319.86943442,-0.01190811824,0.01190811824,0,4.13273135412,4.21229717773e-12,70.8384389387,0.0,0.000813264032263,1.0
490,0.0,1.41690006051,4.61693344571e-17,71.8097369671,55.1805670482,269.822943622,-0.012714089119,0.012714089119,1,4.12431547481,0.183920076617,68.2280322218,0.0,0.000664525321907,0.997963603585
398,0.0,1.41301019975,5.88418203051e-18,90.445191638,75.2854266557,399.845648945,-0.0118785323886,0.0118785323886,2,4.10830362398,0.092472848085,84.3738446634,0.0,0.000784967711479,0.99408920444
388,0.0,1.40895034766,-1.03299733929e-16,93.3154496928,75.6136442391,389.813967469,-0.0117039518476,0.0117039518476,3,4.09165833052,0.134613159088,86.9699284321,0.0,0.000718730927106,0.990061530721
388,0.0,1.40268726518,-2.66872530351e-17,93.0628359752,88.9137582801,979.543929444,-0.00757104868627,0.00757104868627,4,4.06611201972,-0.629508705064,85.962938887,0.0,0.000675294370244,0.983880071387
357,0.0,1.39950482823,-4.8856467767e-17,102.097272307,86.862100841,449.828835272,-0.0113756144657,0.0113756144657,5,4.05319244338,0.000946944746426,94.2205718856,0.0,0.000720716608702,0.980753912141
328,0.0,1.39306228958,-6.23137854736e-17,112.586974853,107.303385888,729.691164031,-0.0101914228314,0.0101914228314,6,4.02716353059,0.0593462646568,102.146666725,0.0,0.000690607299724,0.974455677254
300,0.0,1.38730548343,1.15301460422e-17,123.331862121,108.936037903,579.798816548,-0.0105100834709,0.0105100834709,7,4.00404653467,0.0740196636165,111.529504181,0.0,0.000690890103572,0.968862041003
254,0.0,1.37666404412,4.10721548301e-17,147.636990091,122.058216947,629.716406954,-0.010138585432,0.010138585432,8,3.961663624,0.124268542705,131.714091373,0.0,0.000668512032485,0.958606617401
236,0.0,1.36777205246,4.78070013702e-17,160.890405488,136.253297376,709.583778114,-0.00910061495093,0.00910061495093,9,3.92659270039,0.10513952413,141.765733846,0.0,0.000666231196839,0.950120480604
213,0.0,1.35858540712,8.50690369518e-17,177.884489651,149.708525473,819.556757449,-0.00920852272174,0.00920852272174,10,3.89068567094,0.056908622783,154.790673679,0.0,0.000660635077884,0.941432030673
221,0.0,1.35014110559,-8.07821772987e-17,172.897546493,142.17445105,589.684460142,-0.0095768592167,0.0095768592167,11,3.85796987341,0.124006913105,151.293990051,0.0,0.000669324014074,0.933515765443
183,0.0,1.34002159617,6.06307750264e-17,208.53179079,177.148934294,839.822662558,-0.00813076002537,0.00813076002537,12,3.81912598295,0.0993489433665,176.994707821,0.0,0.000657836647551,0.924116681125
160,0.0,1.32819820011,-2.32999840866e-16,240.067894338,187.546183268,979.475903169,-0.00853947506062,0.00853947506062,13,3.77423683789,0.0995467131601,201.336099834,9.98088184239,0.000668655109743,0.91325482217
142,0.0,1.31816779497,-2.82743067821e-17,272.552586307,211.26154405,999.595433817,-0.00747460255728,0.00747460255728,14,3.73656894122,0.110092241312,223.447664577,0.0,0.000651948423882,0.904140293922
117,0.0,1.30856187864,8.14126792083e-17,334.12898026,251.643957543,999.649261344,-0.00700292652699,0.00700292652699,15,3.70084761532,0.180359743393,263.223121865,0.0,0.000641119995721,0.895496778814
109,0.0,1.29740773209,-1.01368189205e-16,357.457913277,271.532054113,999.700563928,-0.00676447084564,0.00676447084564,16,3.65979718552,0.148844762467,277.252859782,0.0,0.000673151878584,0.885563776575
103,0.0,1.29091233725,-2.75361639507e-17,383.34132742,268.570167592,999.83981157,-0.00703227487718,0.00703227487718,17,3.63610239461,0.177285605047,296.006439312,0.0,0.000664583766218,0.87983033085
92,0.0,1.27716603932,3.91778775827e-17,429.507469604,266.753929537,999.766322543,-0.00669523451405,0.00669523451405,18,3.58646141926,0.191792466933,327.858853077,19.9669554878,0.000648901802275,0.867818668079
81,0.0,1.26598872848,-7.30584137477e-17,487.462143013,304.368826104,999.769942258,-0.0081763046727,0.0081763046727,19,3.54659762519,0.261620048933,358.551034148,9.98016052632,0.000973871372948,0.858172796946
81,0.0,1.24911728302,-3.11636699565e-17,486.604265654,284.319258599,999.800920168,-0.00698704221395,0.00698704221395,20,3.48726333188,0.215153621764,362.440526948,9.98146807133,0.000968621803507,0.843815635004
70,0.0,1.23181463157,-1.15394566617e-16,564.377493307,279.935113836,999.80314671,-0.00682423151625,0.00682423151625,21,3.42744344369,0.320539335757,410.221660412,0.0,0.000669466433277,0.829340973317
61,0.0,1.22071915167,-1.91436543123e-17,660.115157531,258.903440655,999.84758163,-0.00598232164022,0.00598232164022,22,3.38962451144,0.513335348367,466.222852173,9.97954022339,0.000659065166013,0.820189898881
56,0.0,1.21105154548,-1.5615906046e-17,721.907823579,287.833557268,999.797848029,-0.00587478491041,0.00587478491041,23,3.35701284888,0.608788868321,492.950022258,0.0,0.000956042620854,0.812298831264
57,0.0,1.19983651428,-3.42430895797e-17,703.125321756,332.491876483,999.880317674,-0.00694241855406,0.00694241855406,24,3.31957417539,0.535152832566,476.097938016,0.0,0.0009477827786,0.803239768314
54,0.0,1.18970154828,-1.47218689673e-16,746.256912632,313.391321426,999.86799403,-0.00738845037674,0.00738845037674,25,3.28610031873,0.556807485867,501.242623734,9.97976451438,0.000912883826826,0.795140074967
