Perplexity,StdReturn,AverageReturn,MinReturn,dLoss,NumTrajs,MeanKL,AveragePolicyStd,MeanKLBefore,LossAfter,MaxReturn,ExplainedVariance,Iteration,AverageDiscountedReturn,Entropy,LossBefore
4.13273135412,56.5063551539,74.6689389374,0.0,0.00275252955728,473,0.00776365309104,1.0,0.0,-0.00275252955728,319.86943442,4.21229717773e-12,0,70.8384389387,1.4189385332,9.09900776858e-17
4.10486324938,55.1133530015,68.3535916018,0.0,0.155649629571,511,0.179597884542,0.993256734504,0.0,-0.155649629571,329.773623674,0.165223746273,1,64.9960284413,1.41217242916,6.23426533673e-17
3.94960924113,117.502679051,178.722598818,0.0,0.0561302685887,212,0.195327902301,0.955689809645,0.0,-0.0561302685887,659.879020639,-0.653533314347,2,158.773701908,1.37361664772,2.32972106092e-17
3.54149251332,161.016506846,342.316758218,0.0,0.0313436347716,114,0.168404326152,0.856937509327,0.0,-0.0313436347716,999.789182098,0.364790575336,3,282.272228366,1.26454825222,-7.57284313536e-17
3.47153987128,183.648459348,370.901520872,0.0,0.0759474939758,105,0.15724946011,0.84001101785,0.0,-0.0759474939758,929.763250895,0.403384859853,4,299.969550188,1.24459826246,-4.5577138664e-17
3.7331644867,152.8966948,431.685253209,0.0,0.0118267674588,91,0.219236728703,0.903316515596,0.0,-0.0118267674588,879.780347164,-1.62484944084,5,344.461965449,1.31725626183,-1.64062303216e-16
3.82299105257,134.195587354,238.195637078,0.0,0.0546700417235,162,0.173059758261,0.92505191482,0.0,-0.0546700417235,999.860929249,0.160072951416,6,205.987370651,1.34103311429,1.60377816337e-17
3.39196891124,105.591544132,292.109837574,0.0,0.0190683667106,133,0.219788042127,0.820757174999,0.0,-0.0190683667106,819.844633882,-0.191163618213,7,250.365045609,1.22141055257,-6.08137089608e-17
3.15972564612,117.381021124,400.371333936,0.0,0.0366168055884,98,0.134772586049,0.764561103874,0.0,-0.0366168055884,739.869242649,0.492672825322,8,326.557167812,1.15048520298,-8.20455643105e-17
3.01182879359,166.888441322,472.014613245,9.98134746354,0.0215234564015,83,0.146940655761,0.728774395314,0.0,-0.0215234564015,999.808751062,0.52435882202,9,369.141915983,1.10254746689,8.44946040986e-18
2.77377813161,196.712547897,414.058252136,0.0,0.0491938894263,95,0.17945610934,0.671173104161,0.0,-0.0491938894263,999.793122486,0.488318161333,10,327.482347264,1.0202103373,6.47170720412e-17
2.41505982422,107.023226942,487.886960435,329.92722002,0.0342370579016,81,0.211533142231,0.584373775424,0.0,-0.0342370579016,999.89251345,0.687300142151,11,384.222795919,0.881724058732,5.10928324747e-17
2.45140159553,174.89667417,423.045273625,9.97964028019,0.0532497686105,93,0.193073154813,0.593167420158,0.0,-0.0532497686105,989.620430057,0.463349137836,12,336.292284817,0.896659940791,4.94350981925e-17
2.20416744875,151.504595354,554.340528814,289.834362842,0.0411145519601,71,0.149283431353,0.533343994537,0.0,-0.0411145519601,999.848793869,0.54895823612,13,420.684099793,0.790349863339,3.1087352973e-17
1.97941441333,149.778829052,666.988628277,339.830113042,0.022214728423,60,0.167638309792,0.478960339718,0.0,-0.022214728423,999.859993478,0.723660096585,14,482.656777344,0.682801050123,-5.06733994991e-17
1.93688160921,123.073841018,491.099040145,299.874876351,0.0565416023095,81,0.242629014628,0.468668646288,0.0,-0.0565416023095,879.825840012,0.550050202723,15,385.075513183,0.661079261859,1.16491381402e-16
1.96566000536,159.31563702,196.089273962,9.98083782294,0.0940447497728,195,0.212775598779,0.475632175655,0.0,-0.0940447497728,739.877967836,-0.241568014622,16,168.89749238,0.675828069515,1.14115461138e-16
1.84825415351,176.798878975,578.554860583,249.899269039,0.0387083567453,68,0.152246197149,0.447223396619,0.0,-0.0387083567453,999.930622291,0.150809641009,17,432.25776977,0.614241492716,-6.56914329648e-17
1.90657662707,182.207411866,550.715323917,299.878498358,0.0164268166753,72,0.211604360396,0.461335727803,0.0,-0.0164268166753,999.931725801,0.473560068508,18,415.802307151,0.645309292043,-3.84424350078e-18
1.89756063725,248.056557053,358.251184675,39.9788024362,0.0759266707566,109,0.247454051536,0.459154122213,0.0,-0.0759266707566,999.92763604,0.0462083976558,19,281.120642415,0.640569186165,-1.82638882416e-18
1.67731204442,182.774844955,653.169320973,379.927342068,0.0467715960964,61,0.167397785356,0.405860410632,0.0,-0.0467715960964,999.940610497,0.546565575647,20,472.848776082,0.517192538528,2.77452677762e-17
1.58660069067,179.94527541,705.955002809,329.945480467,0.0470937860683,56,0.222288114717,0.383910918645,0.0,-0.0470937860683,999.943227911,0.614861214459,21,500.080728882,0.461593797202,6.88931799443e-17
1.65229006392,171.267809487,559.338103357,279.894128129,0.0273902445462,71,0.207408961706,0.399805823883,0.0,-0.0273902445462,999.949414044,0.414955716426,22,421.976279416,0.502162243175,-1.71797323692e-17
1.6926380296,209.193370876,576.686629597,289.894820961,0.0509336400429,69,0.246160331402,0.409568850371,0.0,-0.0509336400429,999.948343196,0.377550481875,23,428.016452349,0.526288276157,9.64957632583e-17
1.68299279144,178.345661765,650.53711804,289.929467682,0.103525999461,61,0.169475280126,0.407234985104,0.0,-0.103525999461,999.897167604,-0.791881049818,24,471.630326434,0.520573632036,1.05672494545e-16
1.65859012921,202.170125362,664.703859385,339.907286374,0.0519024467,60,0.14001370373,0.401330255244,0.0,-0.0519024467,999.937753979,0.59643297006,25,476.902935857,0.505967921737,1.79130267769e-16
